query_id,category,method,conversation,csv_candidates,cass_candidates,neo4j_candidates,candidate_match,top10_exact_match_cass,top10_exact_match_neo4j,csv_top10,cass_top10,neo4j_top10
conv-26_qa_0,2,BM25,conv-26,419,419,419,True,True,True,conv-26_session_10_D10:5;conv-26_session_10_D10:3;conv-26_session_12_D12:1;conv-26_session_1_D1:3;conv-26_session_5_D5:2;conv-26_session_10_D10:4;conv-26_session_10_D10:6;conv-26_session_12_D12:2;conv-26_session_13_D13:1;conv-26_session_14_D14:34,conv-26_session_10_D10:5;conv-26_session_10_D10:3;conv-26_session_12_D12:1;conv-26_session_1_D1:3;conv-26_session_5_D5:2;conv-26_session_10_D10:4;conv-26_session_10_D10:6;conv-26_session_12_D12:2;conv-26_session_13_D13:1;conv-26_session_14_D14:34,conv-26_session_10_D10:5;conv-26_session_10_D10:3;conv-26_session_12_D12:1;conv-26_session_1_D1:3;conv-26_session_5_D5:2;conv-26_session_10_D10:4;conv-26_session_10_D10:6;conv-26_session_12_D12:2;conv-26_session_13_D13:1;conv-26_session_14_D14:34
conv-26_qa_1,2,BM25,conv-26,419,419,419,True,True,True,conv-26_session_13_D13:1;conv-26_session_14_D14:3;conv-26_session_10_D10:1;conv-26_session_10_D10:15;conv-26_session_10_D10:23;conv-26_session_10_D10:5;conv-26_session_11_D11:12;conv-26_session_11_D11:16;conv-26_session_11_D11:5;conv-26_session_12_D12:13,conv-26_session_13_D13:1;conv-26_session_14_D14:3;conv-26_session_10_D10:1;conv-26_session_10_D10:15;conv-26_session_10_D10:23;conv-26_session_10_D10:5;conv-26_session_11_D11:12;conv-26_session_11_D11:16;conv-26_session_11_D11:5;conv-26_session_12_D12:13,conv-26_session_13_D13:1;conv-26_session_14_D14:3;conv-26_session_10_D10:1;conv-26_session_10_D10:15;conv-26_session_10_D10:23;conv-26_session_10_D10:5;conv-26_session_11_D11:12;conv-26_session_11_D11:16;conv-26_session_11_D11:5;conv-26_session_12_D12:13
conv-26_qa_10,2,BM25,conv-26,419,419,419,True,True,True,conv-26_session_10_D10:4;conv-26_session_10_D10:6;conv-26_session_16_D16:6;conv-26_session_1_D1:16;conv-26_session_3_D3:2;conv-26_session_6_D6:12;conv-26_session_10_D10:2;conv-26_session_10_D10:24;conv-26_session_10_D10:3;conv-26_session_10_D10:5,conv-26_session_10_D10:4;conv-26_session_10_D10:6;conv-26_session_16_D16:6;conv-26_session_1_D1:16;conv-26_session_3_D3:2;conv-26_session_6_D6:12;conv-26_session_10_D10:2;conv-26_session_10_D10:24;conv-26_session_10_D10:3;conv-26_session_10_D10:5,conv-26_session_10_D10:4;conv-26_session_10_D10:6;conv-26_session_16_D16:6;conv-26_session_1_D1:16;conv-26_session_3_D3:2;conv-26_session_6_D6:12;conv-26_session_10_D10:2;conv-26_session_10_D10:24;conv-26_session_10_D10:3;conv-26_session_10_D10:5
conv-26_qa_100,4,BM25,conv-26,419,419,419,True,True,True,conv-26_session_4_D4:15;conv-26_session_12_D12:2;conv-26_session_13_D13:15;conv-26_session_3_D3:6;conv-26_session_4_D4:13;conv-26_session_10_D10:4;conv-26_session_11_D11:11;conv-26_session_11_D11:13;conv-26_session_12_D12:6;conv-26_session_13_D13:2,conv-26_session_4_D4:15;conv-26_session_12_D12:2;conv-26_session_13_D13:15;conv-26_session_3_D3:6;conv-26_session_4_D4:13;conv-26_session_10_D10:4;conv-26_session_11_D11:11;conv-26_session_11_D11:13;conv-26_session_12_D12:6;conv-26_session_13_D13:2,conv-26_session_4_D4:15;conv-26_session_12_D12:2;conv-26_session_13_D13:15;conv-26_session_3_D3:6;conv-26_session_4_D4:13;conv-26_session_10_D10:4;conv-26_session_11_D11:11;conv-26_session_11_D11:13;conv-26_session_12_D12:6;conv-26_session_13_D13:2
conv-26_qa_101,4,BM25,conv-26,419,419,419,True,True,True,conv-26_session_5_D5:7;conv-26_session_14_D14:3;conv-26_session_13_D13:1;conv-26_session_13_D13:8;conv-26_session_14_D14:28;conv-26_session_16_D16:3;conv-26_session_16_D16:4;conv-26_session_17_D17:12;conv-26_session_2_D2:16;conv-26_session_4_D4:5,conv-26_session_5_D5:7;conv-26_session_14_D14:3;conv-26_session_13_D13:1;conv-26_session_13_D13:8;conv-26_session_14_D14:28;conv-26_session_16_D16:3;conv-26_session_16_D16:4;conv-26_session_17_D17:12;conv-26_session_2_D2:16;conv-26_session_4_D4:5,conv-26_session_5_D5:7;conv-26_session_14_D14:3;conv-26_session_13_D13:1;conv-26_session_13_D13:8;conv-26_session_14_D14:28;conv-26_session_16_D16:3;conv-26_session_16_D16:4;conv-26_session_17_D17:12;conv-26_session_2_D2:16;conv-26_session_4_D4:5
conv-26_qa_102,4,BM25,conv-26,419,419,419,True,True,True,conv-26_session_6_D6:8;conv-26_session_11_D11:13;conv-26_session_13_D13:2;conv-26_session_17_D17:22;conv-26_session_2_D2:9;conv-26_session_3_D3:18;conv-26_session_5_D5:10;conv-26_session_6_D6:9;conv-26_session_7_D7:10;conv-26_session_10_D10:2,conv-26_session_6_D6:8;conv-26_session_11_D11:13;conv-26_session_13_D13:2;conv-26_session_17_D17:22;conv-26_session_2_D2:9;conv-26_session_3_D3:18;conv-26_session_5_D5:10;conv-26_session_6_D6:9;conv-26_session_7_D7:10;conv-26_session_10_D10:2,conv-26_session_6_D6:8;conv-26_session_11_D11:13;conv-26_session_13_D13:2;conv-26_session_17_D17:22;conv-26_session_2_D2:9;conv-26_session_3_D3:18;conv-26_session_5_D5:10;conv-26_session_6_D6:9;conv-26_session_7_D7:10;conv-26_session_10_D10:2
conv-26_qa_103,4,BM25,conv-26,419,419,419,True,True,True,conv-26_session_6_D6:9;conv-26_session_10_D10:1;conv-26_session_10_D10:23;conv-26_session_10_D10:5;conv-26_session_11_D11:12;conv-26_session_11_D11:16;conv-26_session_12_D12:13;conv-26_session_12_D12:3;conv-26_session_13_D13:1;conv-26_session_13_D13:15,conv-26_session_6_D6:9;conv-26_session_10_D10:1;conv-26_session_10_D10:23;conv-26_session_10_D10:5;conv-26_session_11_D11:12;conv-26_session_11_D11:16;conv-26_session_12_D12:13;conv-26_session_12_D12:3;conv-26_session_13_D13:1;conv-26_session_13_D13:15,conv-26_session_6_D6:9;conv-26_session_10_D10:1;conv-26_session_10_D10:23;conv-26_session_10_D10:5;conv-26_session_11_D11:12;conv-26_session_11_D11:16;conv-26_session_12_D12:13;conv-26_session_12_D12:3;conv-26_session_13_D13:1;conv-26_session_13_D13:15
conv-26_qa_104,4,BM25,conv-26,419,419,419,True,True,True,conv-26_session_13_D13:1;conv-26_session_14_D14:3;conv-26_session_15_D15:4;conv-26_session_17_D17:10;conv-26_session_18_D18:17;conv-26_session_1_D1:4;conv-26_session_7_D7:8;conv-26_session_8_D8:22;conv-26_session_10_D10:1;conv-26_session_10_D10:15,conv-26_session_13_D13:1;conv-26_session_14_D14:3;conv-26_session_15_D15:4;conv-26_session_17_D17:10;conv-26_session_18_D18:17;conv-26_session_1_D1:4;conv-26_session_7_D7:8;conv-26_session_8_D8:22;conv-26_session_10_D10:1;conv-26_session_10_D10:15,conv-26_session_13_D13:1;conv-26_session_14_D14:3;conv-26_session_15_D15:4;conv-26_session_17_D17:10;conv-26_session_18_D18:17;conv-26_session_1_D1:4;conv-26_session_7_D7:8;conv-26_session_8_D8:22;conv-26_session_10_D10:1;conv-26_session_10_D10:15
conv-26_qa_105,4,BM25,conv-26,419,419,419,True,True,True,conv-26_session_15_D15:4;conv-26_session_17_D17:10;conv-26_session_18_D18:17;conv-26_session_1_D1:4;conv-26_session_7_D7:12;conv-26_session_7_D7:8;conv-26_session_8_D8:22;conv-26_session_10_D10:15;conv-26_session_10_D10:2;conv-26_session_10_D10:24,conv-26_session_15_D15:4;conv-26_session_17_D17:10;conv-26_session_18_D18:17;conv-26_session_1_D1:4;conv-26_session_7_D7:12;conv-26_session_7_D7:8;conv-26_session_8_D8:22;conv-26_session_10_D10:15;conv-26_session_10_D10:2;conv-26_session_10_D10:24,conv-26_session_15_D15:4;conv-26_session_17_D17:10;conv-26_session_18_D18:17;conv-26_session_1_D1:4;conv-26_session_7_D7:12;conv-26_session_7_D7:8;conv-26_session_8_D8:22;conv-26_session_10_D10:15;conv-26_session_10_D10:2;conv-26_session_10_D10:24
conv-26_qa_106,4,BM25,conv-26,419,419,419,True,True,True,conv-26_session_7_D7:18;conv-26_session_13_D13:1;conv-26_session_13_D13:9;conv-26_session_17_D17:3;conv-26_session_18_D18:14;conv-26_session_18_D18:3;conv-26_session_19_D19:9;conv-26_session_4_D4:15;conv-26_session_4_D4:5;conv-26_session_10_D10:1,conv-26_session_7_D7:18;conv-26_session_13_D13:1;conv-26_session_13_D13:9;conv-26_session_17_D17:3;conv-26_session_18_D18:14;conv-26_session_18_D18:3;conv-26_session_19_D19:9;conv-26_session_4_D4:15;conv-26_session_4_D4:5;conv-26_session_10_D10:1,conv-26_session_7_D7:18;conv-26_session_13_D13:1;conv-26_session_13_D13:9;conv-26_session_17_D17:3;conv-26_session_18_D18:14;conv-26_session_18_D18:3;conv-26_session_19_D19:9;conv-26_session_4_D4:15;conv-26_session_4_D4:5;conv-26_session_10_D10:1
