review_type,method,qa_id,category,question,gold_answer,prediction,primary_outcome,cause_candidate,structured_flag_reason,gold_memory_ids,gold_memory_text,top10_memory_ids,top10_memory_text,review_status,confirmed_error_type,reviewer_notes
Type1_Retrieval_miss,ZScore-RawERK,conv-26_qa_149,4,What do Melanie's family give her?,Strength and motivation,Joy and love.,Type1_Retrieval_miss,keyword_or_lexical_miss_candidate,all_gold_memories_have_empty_ERK,conv-26_session_18_D18:9,They're really amazing. Wish I was that resilient too. But they give me the strength to keep going.,conv-26_session_8_D8:29;conv-26_session_18_D18:12;conv-26_session_10_D10:24;conv-26_session_4_D4:9;conv-26_session_8_D8:32;conv-26_session_4_D4:10;conv-26_session_4_D4:3;conv-26_session_8_D8:28;conv-26_session_8_D8:30;conv-26_session_3_D3:22,"That's awesome, Melanie! How have your family been supportive during your move? || It's so sweet to see your love for your family, Melanie. They really are your rock. || Thanks, Caroline! I'm really lucky to have my family; they bring so much joy and love. || That's awesome, Melanie! Family moments like that are so special. Glad y'all had such a great time. || Yeah, Caroline, my family's been great - their love and support really helped me through tough times. It's awesome! We even went on another camping trip in the forest. || Thanks, Caroline! Family time matters to me. What's up with you lately? || Thanks, Melanie! This necklace is super special to me - a gift from my grandma in my home country, Sweden. She gave it to me when I was young, and it stands for love, faith and strength. It's like a reminder of my roots and all the love and support I get from my family. || I'm getting there, Caroline. Creativity and family keep me at peace. || My fam's been awesome - they helped out and showed lots of love and support. || Absolutely, Caroline! I cherish time with family. It's when I really feel alive and happy.",pending,,
Type1_Retrieval_miss,ZScore-RawERK,conv-50_qa_48,2,What was Dave doing in the first weekend of October 2023?,attending a car show,No information provided.,Type1_Retrieval_miss,keyword_or_lexical_miss_candidate,,conv-50_session_22_D22:1,"Hey Calvin! What’s up? Last Friday I went to the car show. I saw some awesome cars and got to mess with car mods! There were so many cool machines around, it was so much fun! Take a look at this beautiful car!",conv-50_session_1_D1:12;conv-50_session_2_D2:8;conv-50_session_8_D8:10;conv-50_session_28_D28:13;conv-50_session_1_D1:8;conv-50_session_15_D15:7;conv-50_session_15_D15:9;conv-50_session_23_D23:9;conv-50_session_17_D17:9;conv-50_session_24_D24:8,"Awesome! Having a place to stay is key. What are your plans for the trip? || Thanks, Calvin! Doing good. Last weekend, I went to a music festival in Boston - it was awesome! So many cool bands playing and the atmosphere was electric. I love music, it reminded me why I love it. Here's a pic, take a look. || I booked a trip to a mountainous region for next month! Finally gonna be able to see those majestic peaks! Gonna be an amazing experience! || Yeah Dave, keep doing what you do! Your blog and car mods are inspiring and a great way to help people find their creativity. || Wow, Japan sounds amazing. Can't wait to hear all about it! When are you leaving? || Wow, that sounds incredible! What was it like playing at the festival? Must have been an amazing experience. || Sounds like you had a blast! Did any other collaborations come out of that performance? Any upcoming concerts we should know about? || The Fireworks headlined the festival. || Looking forward to seeing you! Have a safe trip, see ya! || That sounds really exciting! Can't wait to experience it. I'm sure everyone in the crowd is going to be pumped up!",pending,,
Type1_Retrieval_miss,ZScore-RawERK,conv-49_qa_68,2,"What was Sam doing on December 4, 2023?",Attending a Weight Watchers meeting,"The context does not provide information about Sam's activities on December 4, 2023.",Type1_Retrieval_miss,dual_branch_retrieval_miss,,conv-49_session_18_D18:6,"Exactly, it's all about finding the silver lining. Speaking of new things, I attended a Weight Watchers meeting yesterday. Learned some great tips.",conv-49_session_23_D23:24;conv-49_session_10_D10:1;conv-49_session_1_D1:21;conv-49_session_19_D19:12;conv-49_session_4_D4:15;conv-49_session_24_D24:1;conv-49_session_13_D13:16;conv-49_session_23_D23:22;conv-49_session_2_D2:15;conv-49_session_14_D14:15,"Wow, that looks great! What are your plans for the trip? || Hey Sam! Long time no talk! Hope all is good. What have I been doing these past few weeks? || Yeah, I'll keep you posted. See you soon! || Sounds fantastic! If you need any tips on organizing such a big event, just let me know. I'm always here to support and celebrate your family's milestones. || Starting tomorrow, I will go to the gym and exercise regularly. The sooner I start, the sooner I will see the rewards of this activity. || Hey Sam, hope you're doing good. Something funny happened last night. || Thanks, Evan! I'm looking forward to it! || Ooh, nice cake! Reminds me of special occasions. Do you have any upcoming plans? || Alright Sam, have fun with it! Keep me updated! || Thanks, I'll get in touch if I need anything. Stay safe. Bye!",pending,,
Type1_Retrieval_miss,ZScore-RawERK,conv-42_qa_0,3,Is it likely that Nate has friends besides Joanna?,Yesteammates on hisvideo game team.,Yes.,Type1_Retrieval_miss,dual_branch_retrieval_miss,all_gold_memories_have_empty_ERK,conv-42_session_1_D1:7,"The game was called Counter-Strike: Global Offensive, and me and my team had a blast to the very end!",conv-42_session_16_D16:3;conv-42_session_28_D28:33;conv-42_session_13_D13:6;conv-42_session_23_D23:1;conv-42_session_23_D23:30;conv-42_session_15_D15:17;conv-42_session_25_D25:29;conv-42_session_2_D2:5;conv-42_session_4_D4:14;conv-42_session_14_D14:27,"Nice! Did your friends like the controller accessories? || Bye Joanna! || That's really cool that you can just go out and meet people like that, keep it up Nate! || Hey Joanna, it's been a couple days since we last talked. Something exciting happened last Friday. I went to a game convention and met new people who weren't from my normal circle. It was a bit overwhelming but it reminded me of the good times gaming can bring. || See ya Nate! || Bye Nate! || See you later Joanna! || Thanks, Nate! It's a mix of drama and romance! || Thanks, Nate! It's my own story. The main character is dealing with some tough stuff: loss and trying to figure out who they are. They take a road trip to heal and grow. || Thanks Nate! See you later!",pending,,
Type1_Retrieval_miss,ZScore-RawERK,conv-47_qa_12,3,Did James have a girlfriend during April 2022?,Presumably not,No.,Type1_Retrieval_miss,dual_branch_retrieval_miss,,conv-47_session_6_D6:6,"Thanks, I'm glad you can feel the atmosphere. I got the idea from a walk with my dogs two weeks ago. We were walking around our neighborhood, and a stranger was walking towards us. I had never seen her nearby before. Her eyes and appearance amazed me so much, it seemed to me that I fell in love at first sight. It’s a pity that I didn’t approach her to get to know her, but at least I remembered her appearance and embodied it in the game.",conv-47_session_23_D23:1;conv-47_session_15_D15:5;conv-47_session_19_D19:14;conv-47_session_29_D29:8;conv-47_session_28_D28:7;conv-47_session_6_D6:5;conv-47_session_30_D30:3;conv-47_session_25_D25:2;conv-47_session_23_D23:9;conv-47_session_23_D23:7,"Hey John, it's been a few days since we talked. So much has gone on, both good and bad. Yesterday, when we were at the theater, Samantha loves theater, I asked her to become my girlfriend, and she agreed. We have gone through a lot in this short period. There were good and bad, but I'm happy with her. All that ups and downs were a bit overwhelming, but it's part of life. What about you? Anything interesting lately? || What's been on your mind regarding the future? || Yes, we had fun and I even met one beautiful girl. I'm thinking of asking her out on a date! She left me her phone number, I think I'll call tomorrow. || I actually have something new, Samantha and I have decided to move in together! || Wow, cool! How did it go? Did you learn anything cool? || Wow, James! This is amazing. I can really feel the atmosphere here. Did you get the inspiration for this from something? || That's great news. What did you do? || Hey John! What new has happened in your life? || Cool, which company did you choose? And what other devices did you buy? || Great. Well, what else is new in your life?",pending,,
Type1_Retrieval_miss,ZScore-RawERK,conv-42_qa_173,4,What encouragement does Nate give to Joanna after her setback?,"rejections don't define her, keep grinding and she'll find the perfect opportunity","""Believe in yourself and your talent - you're incredible!""",Type1_Retrieval_miss,dual_branch_retrieval_miss,all_gold_memories_have_empty_ERK,conv-42_session_24_D24:13,"Bummer, Joanna. Is this the one you sent to a film contest? Rejections suck, but don't forget they don't define you. Keep at it and you'll find the perfect opportunity.",conv-42_session_14_D14:3;conv-42_session_22_D22:17;conv-42_session_24_D24:16;conv-42_session_27_D27:14;conv-42_session_5_D5:20;conv-42_session_17_D17:12;conv-42_session_17_D17:20;conv-42_session_22_D22:13;conv-42_session_22_D22:12;conv-42_session_17_D17:21,"Thanks, Nate. It can feel like a step back sometimes. But I appreciate your kind words and encouragement. || Wow, Nate! That's sweet of you! I'll make sure to remember this when I need the encouragement the most. || Thanks, Nate! Your encouragement really means a lot. I'm gonna keep pushing forward and believing in myself. || Thanks, Nate! Appreciate the encouragement. I won't give up, I promise! Got it covered! || Glad to hear my support makes a difference, Joanna. I'm here for you! || Thanks, Nate! Your encouragement really means a lot to me. You're the best for supporting me in my writing journey. || Thanks, Nate! Your belief in me means a lot. I'll keep doing my best. Thanks for the support! || Thanks, Nate! I won't give up on my goals as long as your here to support me. || I'm always here for you, Joanna! You've worked so hard and accomplished a lot – I'm proud. Keep on going! || No problem, Joanna. I'm here for you. Your hard work will pay off, I promise. Believe in yourself and your talent - you're incredible!",pending,,
Type1_Retrieval_miss,ZScore-RawERK,conv-26_qa_1,2,When did Melanie paint a sunrise?,2022,Last year,Type1_Retrieval_miss,embedding_mismatch_candidate,all_gold_memories_have_empty_ERK,conv-26_session_1_D1:12,"You'd be a great counselor! Your empathy and understanding will really help the people you work with. By the way, take a look at this.",conv-26_session_1_D1:14;conv-26_session_14_D14:30;conv-26_session_14_D14:7;conv-26_session_17_D17:13;conv-26_session_14_D14:6;conv-26_session_17_D17:12;conv-26_session_16_D16:8;conv-26_session_9_D9:15;conv-26_session_11_D11:12;conv-26_session_14_D14:8,"Yeah, I painted that lake sunrise last year! It's special to me. || Painting landscapes and still life is my favorite! Nature's amazing, here's a painting I did recently. || Thanks, Melanie! I painted it after I visited the beach last week. Just seeing the sun dip below the horizon, all the amazing colors - it was amazing and calming. So I just had to try to capture that feeling in my painting. || Wow Mel, that's stunning! Love the colors and the chilled-out sunset vibe. What made you paint it? I've been trying out abstract stuff recently. It's kinda freeing, just putting my feelings on the canvas without too much of a plan. It's like a cool form of self-expression. || Wow Caroline, that looks amazing! Those colors are so vivid, it really looks like a real sunset. What gave you the idea to paint it? || Yeah, Here's one I did last week. It's inspired by the sunsets. The colors make me feel calm. What have you been up to lately, artistically? || Seven years now, and I've finally found my real muses: painting and pottery. It's so calming and satisfying. Check out my pottery creation in the pic! || Wow, Caroline, that painting is awesome! Those colors are so vivid and the whole thing looks really unified. What inspired you? || Thanks, Melanie. Here's one- 'Embracing Identity' is all about finding comfort and love in being yourself. The woman in the painting stands for the journey of acceptance. My aim was to show warmth, love and self-acceptance. || Wow, the beach really inspired you. The art really took me to that moment and I can feel the serenity. You captured the sunset perfectly, so peaceful!",pending,,
Type1_Retrieval_miss,ZScore-RawERK,conv-44_qa_19,3,What is an indoor activity that Andrew would enjoy doing while make his dog happy?,cook dog treats,Playing in a big indoor space.,Type1_Retrieval_miss,keyword_or_lexical_miss_candidate,,conv-44_session_10_D10:12;conv-44_session_12_D12:1,"Lately I've been finding new hobbies since I can't hike. I've been getting into cooking more and trying out new recipes - it's been enjoyable. Do you enjoy cooking? Any favorite recipes? || Hey! So much has changed since last time we talked - meet Toby, my puppy. He's a bundle of joy and I couldn't resist taking him home, city living and all. How've you been?",conv-44_session_9_D9:8;conv-44_session_27_D27:15;conv-44_session_10_D10:6;conv-44_session_2_D2:16;conv-44_session_15_D15:6;conv-44_session_18_D18:11;conv-44_session_11_D11:3;conv-44_session_11_D11:19;conv-44_session_9_D9:4;conv-44_session_24_D24:4,"This is the doggy daycare near me, it has a big indoor space for dogs to play. || Cool ideas! I think I'll give those activities a try with my pups. Thanks! || I don't think I ever asked what breed they are right? Also, what do they enjoy doing the most? Looks like they're having a blast! || It'd be so great to have a furry buddy to cuddle and hang with. Here's a photo of my family's dog on a couch.  || That sounds adorable! Pets always find their own little spots and it brings so much joy and comfort. Here's Toby at his favorite spot. || Animals can really find joy in the simple things. That was so nice of you. Do you have any pictures of the new beds? || That's awesome! Dogs really make life more fun doesn't it. I wish I could get one, but like I said, it's tough to find a place and find the right dog. How did you get yours? || Oh I'm sure, dogs definitely add lots of fun to our daily life. || Awesome! They must love it. Makes me happy seeing them have fun. Any plans on making it even more pup-friendly? || Thanks! He's doing great in his new home. Still getting used to Toby and the new environment. Toby needs some time to get along with him too. I never imagined having pets would bring so much happiness. Pets really bring lots of joy and companionship to our lives.",pending,,
Type1_Retrieval_miss,ZScore-RawERK,conv-47_qa_21,2,When did John first organize a charity tournament with his friends?,"May 7, 2022",Last night,Type1_Retrieval_miss,embedding_mismatch_candidate,,conv-47_session_10_D10:2,"Hey James! No worries, I know you are really busy at work. I'm good, thanks for asking. Oh, I've been organizing something with my friends yesterday - it was cool! Guess what it was, I'll give you a little hint.",conv-47_session_10_D10:5;conv-47_session_10_D10:4;conv-47_session_29_D29:5;conv-47_session_29_D29:2;conv-47_session_29_D29:1;conv-47_session_4_D4:3;conv-47_session_12_D12:4;conv-47_session_12_D12:5;conv-47_session_10_D10:8;conv-47_session_24_D24:17,"Wow John, organizing that tournament for charity must have been a ton of effort, but it sounds like it was so worth it! || Nope, not a new game. We put together a tournament for our favorite game, CS:GO. Lots showed up and we made a bunch of money for charity! || I got a great shot at the tournament. Check it out! Everyone was so hyped, and it felt great knowing we were playing for a good cause. || Hey John! Awesome job organizing a gaming tournament for a children's hospital! Combining gaming and a good cause - that's really cool! Tell me more about who helped out and what other games were played. || Hey James! Hope you're doing great. I've some amazing news - I held a gaming tourney with my buddies last night. We played Fortnite and a few other games. We raised a decent amount for a children's hospital. Combining gaming and a good cause felt awesome! || That online gaming tournament looks awesome! Glad you had a blast. How did it go for you? || That's really cool! Last Friday I entered a local tournament and took second place! It was a wild experience and the competitive energy was insane. || Wow, John that's awesome! Congrats on your achievement! I can imagine the rush you must have felt during the tournament. Did you receive any rewards or prizes for your success? || Yeah, for sure! It was awesome and I want to do more events like that. It combines my interests and helps the community. Plus, it's great to get people together for some friendly competition. || I've jammed with friends before, it was a lot of fun!",pending,,
Type1_Retrieval_miss,ZScore-RawERK,conv-47_qa_33,3,Did John and James study together?,Yes,"It will be great to work with you, James.",Type1_Retrieval_miss,dual_branch_retrieval_miss,,conv-47_session_17_D17:13, Your support means a lot to me. You're a true friend! Remember this photo from elementary school?,conv-47_session_28_D28:9;conv-47_session_13_D13:20;conv-47_session_6_D6:5;conv-47_session_17_D17:27;conv-47_session_1_D1:37;conv-47_session_1_D1:25;conv-47_session_28_D28:7;conv-47_session_6_D6:1;conv-47_session_8_D8:6;conv-47_session_11_D11:8,"That's great, John! Sounds like the seminar went well. What did you learn from it? || Sure, John! || Wow, James! This is amazing. I can really feel the atmosphere here. Did you get the inspiration for this from something? || Nice pic, James! Who are they? || Agreed, James! || It will be great to work with you, James. || Wow, cool! How did it go? Did you learn anything cool? || Hey James! Long time no see! I have great news! Last Tuesday I met three cool new friends in my programming course, they share the same passion as me and it's cool to grow my social circle. Have you had any fun surprises lately? || Thanks, James! I've learned a lot and it's been an interesting journey so far. Progress is slow and there have been some hiccups along the way. || That's really great, John! It's awesome how you blended your passion with a good cause. How did it affect you?",pending,,
