old_path,new_path,status,layer,purpose,inputs,outputs,related_reports,safe_to_run,destructive_risk,last_verified,notes
scripts/memory/locomo_pipeline/extraction/observation_to_kg_spacy.py,scripts/memory/locomo_pipeline/extraction/observation_to_kg_spacy.py,PAPER_EVIDENCE,extraction,spaCy KG triple extraction from observations,locomo10.json,locomo_kg_edges_spacy.csv,results/locomo_kg_edges_spacy.csv,no,medium,2026-06,requires spaCy model
scripts/memory/locomo_pipeline/extraction/locomo_cassandra_import.py,scripts/memory/locomo_pipeline/extraction/locomo_cassandra_import.py,PAPER_EVIDENCE,extraction,Import locomo data into Cassandra tables,unknown,unknown,unknown,no,medium,2026-06,connects to Cassandra
scripts/memory/locomo_pipeline/extraction/locomo_neo4j_import.py,scripts/memory/locomo_pipeline/extraction/locomo_neo4j_import.py,PAPER_EVIDENCE,extraction,Import locomo data into Neo4j graph,unknown,unknown,unknown,no,medium,2026-06,connects to Neo4j
scripts/memory/locomo_pipeline/extraction/locomo_to_memory_records.py,scripts/memory/locomo_pipeline/extraction/locomo_to_memory_records.py,PAPER_EVIDENCE,extraction,Convert locomo10.json to memory_records.csv,locomo10.json,locomo_memory_records.csv,results/locomo_memory_records.csv,yes,none,2026-06,no DB connection required
scripts/memory/locomo_pipeline/retrieval/locomo_retrieval_tfidf.py,scripts/memory/locomo_pipeline/retrieval/locomo_retrieval_tfidf.py,PAPER_EVIDENCE,retrieval,TF-IDF retrieval baseline,unknown,unknown,unknown,yes,none,2026-06,
scripts/memory/locomo_pipeline/retrieval/locomo_retrieval_bm25.py,scripts/memory/locomo_pipeline/retrieval/locomo_retrieval_bm25.py,PAPER_EVIDENCE,retrieval,BM25 retrieval,memory_records.csv,per-query retrieval CSV,results/locomo_bm25_results.csv results/sample_scoped/,yes,none,2026-06,
scripts/memory/locomo_pipeline/retrieval/locomo_retrieval_dense_bge.py,scripts/memory/locomo_pipeline/retrieval/locomo_retrieval_dense_bge.py,PAPER_EVIDENCE,retrieval,Dense-bge retrieval,unknown,unknown,results/locomo_dense_bge_results.csv results/sample_scoped/,yes,none,2026-06,requires encode_bge_large_api
scripts/memory/locomo_pipeline/retrieval/locomo_retrieval_dense_kg_boost.py,scripts/memory/locomo_pipeline/retrieval/locomo_retrieval_dense_kg_boost.py,PAPER_EVIDENCE,retrieval,Dense-bge + GlobalKG boost retrieval,memory_records.csv + KG edges,per-query retrieval CSV (grid search),results/locomo_dense_kg_boost_results.csv results/sample_scoped/,yes,none,2026-06,
scripts/memory/locomo_pipeline/retrieval/locomo_retrieval_dense_bge_query_kg_rerank.py,scripts/memory/locomo_pipeline/retrieval/locomo_retrieval_dense_bge_query_kg_rerank.py,PAPER_EVIDENCE,retrieval,Dense-bge + QueryKG rerank (config_B),memory_records.csv + KG edges,per-query retrieval CSV,results/query_kg_rerank/,yes,none,2026-06,core retrieval method
scripts/memory/locomo_pipeline/retrieval/locomo_retrieval_sample_scoped.py,scripts/memory/locomo_pipeline/retrieval/locomo_retrieval_sample_scoped.py,PAPER_EVIDENCE,retrieval,Sample-scoped retrieval for all methods,memory_records.csv,triple-output CSV,results/sample_scoped/,yes,none,2026-06,
scripts/memory/locomo_pipeline/retrieval/locomo_cassandra_retrieval.py,scripts/memory/locomo_pipeline/retrieval/locomo_cassandra_retrieval.py,PAPER_EVIDENCE,retrieval,Cassandra KG-based retrieval,memory_records.csv + Cassandra KG,per-query retrieval CSV,unknown,no,low,2026-06,connects to Cassandra
scripts/memory/locomo_pipeline/retrieval/locomo_neo4j_retrieval.py,scripts/memory/locomo_pipeline/retrieval/locomo_neo4j_retrieval.py,PAPER_EVIDENCE,retrieval,Neo4j KG-based retrieval,memory_records.csv + Neo4j KG,unknown,unknown,no,low,2026-06,connects to Neo4j
scripts/memory/locomo_pipeline/retrieval/locomo_retrieval_benchmark.py,scripts/memory/locomo_pipeline/retrieval/locomo_retrieval_benchmark.py,PAPER_EVIDENCE,retrieval,Retrieval benchmark runner,unknown,unknown,unknown,yes,none,2026-06,
scripts/memory/locomo_pipeline/reader_eval/reader_f1_memory_only_v2.py,scripts/memory/locomo_pipeline/reader_eval/reader_f1_memory_only_v2.py,PAPER_EVIDENCE,reader_eval,Reader F1 evaluation v2 (pilot + full),retrieval CSV + qa_records.csv,per-QA predictions + by-category summary,results/final/reader_f1_*,yes,none,2026-06,LLM API calls
