qa_id,P3_prediction,P4_prediction,same_prediction,P3_rF1,P4_rF1,same_rF1,P3_rEM,P4_rEM,P3_WrongAbst,P4_WrongAbst
conv-26_qa_0,Cannot answer,"1:56 pm on 8 May, 2023",False,0.0,0.4,False,0.0,0.0,1.0,0
conv-26_qa_1,Last year,last year,False,0.0,0.0,True,0.0,0.0,0.0,0
conv-26_qa_10,4 years,4 years,True,1.0,1.0,True,1.0,1.0,0.0,0
conv-26_qa_100,A safe and loving home.,A safe and loving home.,True,0.3333333333,0.333333,True,0.0,0.0,0.0,0
conv-26_qa_101,Yes,Yes,True,1.0,1.0,True,1.0,1.0,0.0,0
conv-26_qa_102,"Kids' books- classics, stories from different cultures, educational books","Kids' books- classics, stories from different cultures, educational books",True,1.0,1.0,True,1.0,1.0,0.0,0
conv-26_qa_103,Charlotte's Web,Charlotte's Web,True,1.0,1.0,True,1.0,1.0,0.0,0
conv-26_qa_104,"""Becoming Nicole"" by Amy Ellis Nutt",Cannot answer,False,0.5,0.0,False,0.0,0.0,0.0,1
conv-26_qa_105,Cannot answer,Self-acceptance and finding support.,False,0.0,0.833333,False,0.0,0.0,1.0,0
conv-26_qa_106,Running,Running,True,1.0,1.0,True,1.0,1.0,0.0,0
conv-26_qa_107,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-26_qa_108,her headspace,her headspace,True,0.4,0.4,True,0.0,0.0,0.0,0
conv-26_qa_109,pots,pots,True,1.0,1.0,True,1.0,1.0,0.0,0
conv-26_qa_11,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-26_qa_110,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-26_qa_111,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-26_qa_112,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-26_qa_113,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-26_qa_114,warmth and happiness,warmth and happiness,True,1.0,1.0,True,1.0,1.0,0.0,0
conv-26_qa_115,They remind her of her wedding day.,They remind her of her wedding day.,True,0.5714285714,0.571429,True,0.0,0.0,0.0,0
conv-26_qa_116,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-26_qa_117,once or twice a year,once or twice a year,True,1.0,1.0,True,1.0,1.0,0.0,0
conv-26_qa_118,Perseid meteor shower,Perseid meteor shower,True,1.0,1.0,True,1.0,1.0,0.0,0
conv-26_qa_119,tiny and in awe of the universe,Tiny and in awe of the universe.,False,0.8,0.8,True,0.0,0.0,0.0,0
conv-26_qa_12,10 years ago,10 years ago,True,1.0,1.0,True,1.0,1.0,0.0,0
conv-26_qa_120,Melanie's daughter's birthday,Her daughter's,False,0.75,0.666667,False,0.0,0.0,0.0,0
conv-26_qa_121,Matt Patterson,Matt Patterson,True,1.0,1.0,True,1.0,1.0,0.0,0
conv-26_qa_122,To catch the eye and make people smile.,To catch the eye and make people smile.,True,0.875,0.875,True,0.0,0.0,0.0,0
conv-26_qa_123,"Oscar, my guinea pig.","Oscar, my guinea pig",False,0.6666666667,0.666667,True,0.0,0.0,0.0,0
conv-26_qa_124,Luna and Oliver,Luna and Oliver,True,0.2857142857,0.285714,True,0.0,0.0,0.0,0
conv-26_qa_125,In my slipper,In my slipper,True,0.5714285714,0.571429,True,0.0,0.0,0.0,0
conv-26_qa_126,horseback riding,horseback riding,True,1.0,1.0,True,1.0,1.0,0.0,0
conv-26_qa_127,A stained glass window,a stained glass window,False,1.0,1.0,True,1.0,1.0,0.0,0
conv-26_qa_128,a cool rainbow sidewalk for Pride Month,a cool rainbow sidewalk for Pride Month,True,0.5,0.5,True,0.0,0.0,0.0,0
conv-26_qa_129,Brave,Brave,True,0.4,0.4,True,0.0,0.0,0.0,0
conv-26_qa_13,Counseling and mental health.,Cannot answer,False,0.5454545455,0.0,False,0.0,0.0,0.0,1
conv-26_qa_130,Bach and Mozart,Bach and Mozart,True,1.0,1.0,True,1.0,1.0,0.0,0
conv-26_qa_131,Ed Sheeran,Ed Sheeran,True,1.0,1.0,True,1.0,1.0,0.0,0
conv-26_qa_132,Seven years now.,Cannot answer,False,0.8,0.0,False,0.0,0.0,0.0,1
conv-26_qa_133,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-26_qa_134,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-26_qa_135,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-26_qa_136,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-26_qa_137,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-26_qa_138,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-26_qa_139,transgender poetry reading,transgender poetry reading,True,0.4285714286,0.428571,True,0.0,0.0,0.0,0
conv-26_qa_14,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-26_qa_140,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-26_qa_141,freedom and being real,freedom and being real,True,0.6,0.6,True,0.0,0.0,0.0,0
conv-26_qa_142,"They describe it as a shared journey of learning, exploring, and helping each ot",Life's about learning and exploring.,False,0.3157894737,0.333333,False,0.0,0.0,0.0,0
conv-26_qa_143,He got into an accident.,He got into an accident.,True,1.0,1.0,True,1.0,1.0,0.0,0
conv-26_qa_144,Cannot answer,Cannot answer,True,0.0,0.0,True,0.0,0.0,1.0,1
conv-26_qa_145,She thought about how much she needs them and felt thankful.,She thought about how much she needs them and they mean the world to her.,False,0.1052631579,0.545455,False,0.0,0.0,0.0,0
conv-26_qa_146,They were scared but we reassured them and explained their brother would be OK.,They were scared but we reassured them and explained their brother would be OK. ,False,0.4210526316,0.347826,False,0.0,0.0,0.0,0
conv-26_qa_147,She was scared.,scared,False,0.0,0.0,True,0.0,0.0,0.0,0
conv-26_qa_148,"Thankfully, they enjoyed the Grand Canyon a lot!","Thankfully, they enjoyed the Grand Canyon a lot!",True,0.0,0.0,True,0.0,0.0,0.0,0
conv-26_qa_149,love and support,love and support,True,0.3333333333,0.333333,True,0.0,0.0,0.0,0
