path,size_bytes,sha256,row_count,has_method,has_query_id,has_prediction,has_rF1,has_rEM,has_WrongAbst,methods_found,content_preview
05_reports\p3_reader_alignment\reader_predictions.jsonl,250584,520c30f7b0be1077b8b767295df8f9d073e75b3946ba9036b347ddb3a850de56,24,True,True,True,True,True,True,ZScore_Raw|ZScore_RawERK,"{""method"":""ZScore_RawERK"",""query_id"":""conv-26_qa_1"",""conversation_id"":""conv-26"",""category"":""2"",""prediction"":""Last year"",""rF1"":0.0,""rEM"":0.0,""WrongAbst"":0.0,""R@1"":0.0,""R@10"":0.0,""MRR"":0.0,""Hit@10"":0.0}"
reports\p2_fusion_reader_final\reader_predictions.jsonl,751849,638f6e0202e431370085fe458c35e96c6c9f492f96c3635a40a436caaca4d595,24,False,True,True,True,True,True,,"{""method"":""ZScore_Linear"",""query_id"":""conv-26_qa_0"",""conversation_id"":""conv-26"",""category"":""2"",""prediction"":""Cannot answer"",""rF1"":0.0,""rEM"":0.0,""WrongAbst"":1.0,""R@1"":1.0,""R@10"":1.0,""MRR"":1.0,""Hit@10"":"
05_reports\p3_reader_alignment\01_reader_overall.csv,204,a3be7b6bd3aa04d82d2467072bc47a2c69d99f5ff7f90c9cfd72b0d8b391a2f7,2,True,False,False,True,True,True,ZScore_Raw|ZScore_RawERK,"Method,n,R@1,R@10,MRR,Hit@10,rF1,rEM,WrongAbst ZScore_RawERK,1150,0.4217391304347826,0.8069565217391305,0.5461997929606626,0.8069565217391305,0.36751068173744644,0.21130434782608695,0.4382608695652173"
reports\p2_fusion_reader_final\01_reader_overall.csv,516,51d89ca64e1c49efd2f6551b56d063f294670e0af99ed85b5dc2a31e521e053a,4,False,False,False,True,True,True,,"Method,n,R@1,R@10,MRR,Hit@10,rF1,rEM,WrongAbst MinMax_Linear,1150,0.41739130434782606,0.8008695652173913,0.5409541062801932,0.8008695652173913,0.37408182724408323,0.2165217391304348,0.4391304347826087"
05_reports\p3_reader_alignment\02_reader_by_category.csv,503,5deb7d77df9e3f90c9de13c555f7a0a27430974150134daff9e614c0da15e507,5,True,False,False,True,True,True,ZScore_Raw|ZScore_RawERK,"Method,category,n,MRR,R@10,rF1,rEM,WrongAbst ZScore_RawERK,1,224,0.4472842261904762,0.7767857142857143,0.28214987842793604,0.07142857142857142,0.48214285714285715 ZScore_RawERK,2,239,0.63752241482367,"
reports\p2_fusion_reader_final\02_reader_by_category.csv,1400,8a2be2c0a866fb8b44b245211df3f9b0bd4506e1c8a8130a28e1bd79eb4ec82d,13,False,False,False,True,True,True,,"Method,category,n,MRR,R@10,rF1,rEM,WrongAbst MinMax_Linear,1,224,0.4422636763038549,0.7589285714285714,0.26495078883545664,0.05803571428571429,0.5 MinMax_Linear,2,239,0.6378412034269775,0.811715481171"
05_reports\p3_reader_alignment\reader_cache.jsonl,567419,62897b197dc869b25823031a04e85cf39ad64b9c259698034d5abe99474ab4ad,11,True,True,False,False,False,False,ZScore_Raw|ZScore_RawERK,"{""cache_key"": ""a4fa6a89fdb8d4cc5a18cc2cd0233ba9cd0dfbebf5d7621f41acb90503922d68"", ""method"": ""ZScore_RawERK"", ""query_id"": ""conv-26_qa_1"", ""ordered_memory_ids"": [""conv-26_session_1_D1:14"", ""conv-26_sess"
05_reports\p4_full5\reader_cache_all.jsonl,898821,69e95c8f473c93b609b9c989f67065b52a4c3f3fe173cf10d3e17961e138670f,10,False,True,False,False,False,False,,"{""qa_id"": ""conv-26_qa_1"", ""category"": ""2"", ""question"": ""When did Melanie paint a sunrise?"", ""gold_answer"": ""2022"", ""top10"": ""conv-26_session_1_D1:14;conv-26_session_14_D14:30;conv-26_session_14_D14:7;"
reports\p2_fusion_reader_final\reader_cache.jsonl,1705901,594248e42018b1d65ed9c4185bad4bc8f8f0eaef61464cdcd93efd0ee2b6bdc1,11,False,True,False,False,False,False,,"{""cache_key"": ""c993e8d53650c2e627a0011ada694d951384e0d0a91c4fc252c76088259bdb02"", ""method"": ""ZScore_Linear"", ""query_id"": ""conv-26_qa_0"", ""ordered_memory_ids"": [""conv-26_session_1_D1:3"", ""conv-26_sessi"
05_reports\p4_full5\canonical_reader_predictions.jsonl,954254,867c4cd387907aeba9eafb8ba509d25c8e8b9b1566e6300206e0bc89bd6876cd,9,False,True,True,False,False,False,,"{""query_id"": ""conv-26_qa_0"", ""prompt_sha256"": ""79788dcc1ecbf343ce7fdadc0c5c7da820b20f611b0aee0a9801a27181d57eae"", ""prediction"": ""Cannot answer"", ""prediction_source"": ""reused_p3_frozen"", ""source_artifa"
