memory_id,raw_text,enriched_text,has_kg,n_triples,entities,relations,temporal_flag
conv-26_session_10_D10:1,Hey Melanie! Just wanted to say hi!,Hey Melanie! Just wanted to say hi!,0,0,,,0
conv-26_session_10_D10:10,"Seeing my kids' faces so happy at the beach was the best! We don't go often, usually only once or twice a year. But those times are always special to spend time together and chill.","Seeing my kids' faces so happy at the beach was the best! We don't go often, usually only once or twice a year. But those times are always special to spend time together and chill.",0,0,,,0
conv-26_session_10_D10:11,"Sounds special, those beach trips! Do you have any other summer traditions you all do together? Create those memories!","Sounds special, those beach trips! Do you have any other summer traditions you all do together? Create those memories!",0,0,,,0
conv-26_session_10_D10:12,"We always look forward to our family camping trip. We roast marshmallows, tell stories around the campfire and just enjoy each other's company. It's the highlight of our summer!","We always look forward to our family camping trip. We roast marshmallows, tell stories around the campfire and just enjoy each other's company. It's the highlight of our summer!
Entities: camping, marshmallows, melanie, roast, trip
Relations: include
Triples: (melanie, include, a_camping_trip_where_they_roast_marshmallows_and)

Keywords: always, around, campfire, camping, company, enjoy, family, forward, highlight, look, marshmallows, melanie, roast, stories, summer, tell, trip",1,1,"camping, marshmallows, melanie, roast, trip",include,0
conv-26_session_10_D10:13,"Wow, Mel, that's awesome! What's your best camping memory?","Wow, Mel, that's awesome! What's your best camping memory?",0,0,,,0
conv-26_session_10_D10:14,I'll always remember our camping trip last year when we saw the Perseid meteor shower. It was so amazing lying there and watching the sky light up with streaks of light. We all made wishes and felt so at one with the universe. That's a memory I'll never forget.,"I'll always remember our camping trip last year when we saw the Perseid meteor shower. It was so amazing lying there and watching the sky light up with streaks of light. We all made wishes and felt so at one with the universe. That's a memory I'll never forget.
Entities: melanie, meteor, perseid, shower
Relations: watch
Triples: (melanie, watch, the_perseid_meteor_shower)

Keywords: always, amazing, camping, felt, forget, last, light, lying, made, melanie, memory, meteor, never, one, perseid, remember, saw, shower, sky, streaks",1,1,"melanie, meteor, perseid, shower",watch,0
conv-26_session_10_D10:15,Cool! What did it look like?,Cool! What did it look like?,0,0,,,0
conv-26_session_10_D10:16,"The sky was so clear and filled with stars, and the meteor shower was amazing - it felt like we were part of something huge and awe-inspiring.","The sky was so clear and filled with stars, and the meteor shower was amazing - it felt like we were part of something huge and awe-inspiring.",0,0,,,0
conv-26_session_10_D10:17,"Wow, Mel. That must've been breathtaking!","Wow, Mel. That must've been breathtaking!",0,0,,,0
conv-26_session_10_D10:18,It was one of those moments where I felt tiny and in awe of the universe. Reminds me how awesome life is - so many little moments like that.,It was one of those moments where I felt tiny and in awe of the universe. Reminds me how awesome life is - so many little moments like that.,0,0,,,0
conv-26_session_10_D10:19,"That's great, Mel! What other good memories do you have that make you feel thankful for life?","That's great, Mel! What other good memories do you have that make you feel thankful for life?",0,0,,,0
conv-26_session_10_D10:2,Hey Caroline! Good to talk to you again. What's up? Anything new since last time?,Hey Caroline! Good to talk to you again. What's up? Anything new since last time?,0,0,,,0
conv-26_session_10_D10:20,I'll never forget the day my youngest took her first steps. Seeing her wobble as she took those initial steps really put into perspective how fleeting life is and how lucky I am to be able to share these moments.,"I'll never forget the day my youngest took her first steps. Seeing her wobble as she took those initial steps really put into perspective how fleeting life is and how lucky I am to be able to share these moments.
Entities: child, melanie, memory, taking, youngest
Relations: treasure
Triples: (melanie, treasure, the_memory_of_her_youngest_child_taking_her)

Keywords: able, child, day, first, fleeting, forget, initial, into, life, lucky, melanie, memory, moments, never, perspective, put, really, seeing, share, steps",1,1,"child, melanie, memory, taking, youngest",treasure,0
conv-26_session_10_D10:21,"Aw, that's sweet, Mel! Those milestones are great reminders of how special our bonds are.","Aw, that's sweet, Mel! Those milestones are great reminders of how special our bonds are.",0,0,,,0
conv-26_session_10_D10:22,"Yeah, they sure are. It's special moments like these that make me appreciate life and how lucky I am to be with my family and have our love.","Yeah, they sure are. It's special moments like these that make me appreciate life and how lucky I am to be with my family and have our love.",0,0,,,0
conv-26_session_10_D10:23,"Wow, Melanie, what a beautiful moment! Lucky you to have such an awesome family!","Wow, Melanie, what a beautiful moment! Lucky you to have such an awesome family!",0,0,,,0
conv-26_session_10_D10:24,"Thanks, Caroline! I'm really lucky to have my family; they bring so much joy and love.","Thanks, Caroline! I'm really lucky to have my family; they bring so much joy and love.",0,0,,,0
conv-26_session_10_D10:3,"Hey Mel! A lot's happened since we last chatted - I just joined a new LGBTQ activist group last Tues. I'm meeting so many cool people who are as passionate as I am about rights and community support. I'm giving my voice and making a real difference, plus it's fulfilling in so many ways. It's just great, you know?","Hey Mel! A lot's happened since we last chatted - I just joined a new LGBTQ activist group last Tues. I'm meeting so many cool people who are as passionate as I am about rights and community support. I'm giving my voice and making a real difference, plus it's fulfilling in so many ways. It's just great, you know?
Entities: activist, called, caroline, connected, group, lgbtq, new
Relations: join
Triples: (caroline, join, a_new_lgbtq_activist_group_called_'_connected)

Keywords: activist, called, caroline, chatted, community, connected, cool, difference, fulfilling, giving, great, group, happened, hey, joined, know, last, lgbtq, lot, making",1,1,"activist, called, caroline, connected, group, lgbtq, new",join,0
