qa_id,user_id,sample_id,question,answer,category,evidence
conv-26_qa_0,conv-26,conv-26,When did Caroline go to the LGBTQ support group?,7 May 2023,2,"[""D1:3""]"
conv-26_qa_1,conv-26,conv-26,When did Melanie paint a sunrise?,2022,2,"[""D1:12""]"
conv-26_qa_2,conv-26,conv-26,What fields would Caroline be likely to pursue in her educaton?,"Psychology, counseling certification",3,"[""D1:9"", ""D1:11""]"
conv-26_qa_3,conv-26,conv-26,What did Caroline research?,Adoption agencies,1,"[""D2:8""]"
conv-26_qa_4,conv-26,conv-26,What is Caroline's identity?,Transgender woman,1,"[""D1:5""]"
conv-26_qa_5,conv-26,conv-26,When did Melanie run a charity race?,The sunday before 25 May 2023,2,"[""D2:1""]"
conv-26_qa_6,conv-26,conv-26,When is Melanie planning on going camping?,June 2023,2,"[""D2:7""]"
conv-26_qa_7,conv-26,conv-26,What is Caroline's relationship status?,Single,1,"[""D3:13"", ""D2:14""]"
conv-26_qa_8,conv-26,conv-26,When did Caroline give a speech at a school?,The week before 9 June 2023,2,"[""D3:1""]"
conv-26_qa_9,conv-26,conv-26,"When did Caroline meet up with her friends, family, and mentors?",The week before 9 June 2023,2,"[""D3:11""]"
conv-26_qa_10,conv-26,conv-26,How long has Caroline had her current group of friends for?,4 years,2,"[""D3:13""]"
conv-26_qa_11,conv-26,conv-26,Where did Caroline move from 4 years ago?,Sweden,1,"[""D3:13"", ""D4:3""]"
conv-26_qa_12,conv-26,conv-26,How long ago was Caroline's 18th birthday?,10 years ago,2,"[""D4:5""]"
conv-26_qa_13,conv-26,conv-26,What career path has Caroline decided to persue?,counseling or mental health for Transgender people,1,"[""D4:13"", ""D1:11""]"
conv-26_qa_14,conv-26,conv-26,Would Caroline still want to pursue counseling as a career if she hadn't received support growing up?,Likely no,3,"[""D4:15"", ""D3:5""]"
conv-26_qa_15,conv-26,conv-26,What activities does Melanie partake in?,"pottery, camping, painting, swimming",1,"[""D5:4"", ""D9:1"", ""D1:12"", ""D1:18""]"
conv-26_qa_16,conv-26,conv-26,When did Melanie sign up for a pottery class?,2 July 2023,2,"[""D5:4""]"
conv-26_qa_17,conv-26,conv-26,When is Caroline going to the transgender conference?,July 2023,2,"[""D5:13""]"
conv-26_qa_18,conv-26,conv-26,Where has Melanie camped?,"beach, mountains, forest",1,"[""D6:16"", ""D4:6"", ""D8:32""]"
conv-26_qa_19,conv-26,conv-26,What do Melanie's kids like?,"dinosaurs, nature",1,"[""D6:6"", ""D4:8""]"
conv-26_qa_20,conv-26,conv-26,When did Melanie go to the museum?,5 July 2023,2,"[""D6:4""]"
conv-26_qa_21,conv-26,conv-26,When did Caroline have a picnic?,The week before 6 July 2023,2,"[""D6:11""]"
conv-26_qa_22,conv-26,conv-26,Would Caroline likely have Dr. Seuss books on her bookshelf?,"Yes, since she collects classic children's books",3,"[""D6:9""]"
conv-26_qa_23,conv-26,conv-26,What books has Melanie read?,"""Nothing is Impossible"", ""Charlotte's Web""",1,"[""D7:8"", ""D6:10""]"
conv-26_qa_24,conv-26,conv-26,What does Melanie do to destress?,"Running, pottery",1,"[""D7:22"", ""D5:4""]"
conv-26_qa_25,conv-26,conv-26,When did Caroline go to the LGBTQ conference?,10 July 2023,2,"[""D7:1""]"
conv-26_qa_26,conv-26,conv-26,"When did Melanie read the book ""nothing is impossible""?",2022,2,"[""D7:8""]"
conv-26_qa_27,conv-26,conv-26,Would Caroline pursue writing as a career option?,"LIkely no; though she likes reading, she wants to be a counselor",3,"[""D7:5"", ""D7:9""]"
conv-26_qa_28,conv-26,conv-26,When did Caroline go to the adoption meeting?,The friday before 15 July 2023,2,"[""D8:9""]"
conv-26_qa_29,conv-26,conv-26,When did Melanie go to the pottery workshop?,The Friday before 15 July 2023,2,"[""D8:2""]"
conv-26_qa_30,conv-26,conv-26,Would Melanie be considered a member of the LGBTQ community?,"Likely no, she does not refer to herself as part of it",3,[]
conv-26_qa_31,conv-26,conv-26,When did Melanie go camping in June?,The week before 27 June 2023,2,"[""D4:8""]"
conv-26_qa_32,conv-26,conv-26,What LGBTQ+ events has Caroline participated in?,"Pride parade, school speech, support group",1,"[""D5:1"", ""D8:17"", ""D3:1"", ""D1:3""]"
conv-26_qa_33,conv-26,conv-26,When did Caroline go to a pride parade during the summer?,The week before 3 July 2023,2,"[""D5:1""]"
conv-26_qa_34,conv-26,conv-26,What events has Caroline participated in to help children?,"Mentoring program, school speech",1,"[""D9:2"", ""D3:3""]"
conv-26_qa_35,conv-26,conv-26,When did Melanie go camping in July?,two weekends before 17 July 2023,2,"[""D9:1""]"
conv-26_qa_36,conv-26,conv-26,When did Caroline join a mentorship program?,The weekend before 17 July 2023,2,"[""D9:2""]"
conv-26_qa_37,conv-26,conv-26,What did Melanie paint recently?,sunset,1,"[""D8:6; D9:17""]"
conv-26_qa_38,conv-26,conv-26,What activities has Melanie done with her family?,"Pottery, painting, camping, museum, swimming, hiking",1,"[""D8:4"", ""D8:6"", ""D9:1"", ""D6:4"", ""D1:18"", ""D3:14""]"
conv-26_qa_39,conv-26,conv-26,In what ways is Caroline participating in the LGBTQ community?,"Joining activist group, going to pride parades, participating in an art show, mentoring program",1,"[""D10:3"", ""D5:1"", ""D9:12"", ""D9:2""]"
conv-26_qa_40,conv-26,conv-26,How many times has Melanie gone to the beach in 2023?,2,1,"[""D10:8"", ""D6:16""]"
conv-26_qa_41,conv-26,conv-26,When did Caroline join a new activist group?,The Tuesday before 20 July 2023,2,"[""D10:3""]"
conv-26_qa_42,conv-26,conv-26,Would Melanie be more interested in going to a national park or a theme park?,National park; she likes the outdoors,3,"[""D10:12"", ""D10:14""]"
conv-26_qa_43,conv-26,conv-26,What kind of art does Caroline make?,abstract art,1,"[""D11:12"", ""D11:8"", ""D9:14""]"
conv-26_qa_44,conv-26,conv-26,When is Melanie's daughter's birthday?,13 August,2,"[""D11:1""]"
conv-26_qa_45,conv-26,conv-26,When did Caroline attend a pride parade in August?,The Friday before 14 August 2023,2,"[""D11:4""]"
conv-26_qa_46,conv-26,conv-26,Would Melanie be considered an ally to the transgender community?,"Yes, she is supportive",3,[]
conv-26_qa_47,conv-26,conv-26,Who supports Caroline when she has a negative experience?,"Her mentors, family, and friends",1,"[""D12:1"", ""D3:11""]"
