memory_id,conversation_id,raw_text,summary,entities,relations,keywords,triples
conv-26_session_1_D1:1,conv-26,Hey Mel! Good to see you! How have you been?,"Caroline greeted Mel warmly at 1:56 pm on May 8, 2023, asking how they have been.",,,,
conv-26_session_1_D1:2,conv-26,Hey Caroline! Good to see you! I'm swamped with the kids & work. What's up with you? Anything new?,"Melanie, at 1:56 pm on May 8, 2023, greeted Caroline and mentioned being overwhelmed with kids and work, then asked what was new with her.","kids, melanie, work",manage,"anything, caroline, good, hey, kids, melanie, new, see, swamped, work","(melanie, manage, kids_and_work)"
conv-26_session_1_D1:3,conv-26,I went to a LGBTQ support group yesterday and it was so powerful.,"Caroline attended an LGBTQ support group on May 7, 2023, and found the experience deeply powerful.","caroline, group, lgbtq, support",attend,"caroline, group, lgbtq, powerful, support, went, yesterday","(caroline, attend, an_lgbtq_support_group)"
conv-26_session_1_D1:4,conv-26,"Wow, that's cool, Caroline! What happened that was so awesome? Did you hear any inspiring stories?",Melanie asked Caroline what awesome thing happened and if she heard any inspiring stories.,,,,
conv-26_session_1_D1:5,conv-26,The transgender stories were so inspiring! I was so happy and thankful for all the support.,"Caroline felt inspired and grateful after hearing transgender stories on May 8, 2023, appreciating the support shown.",,,,
conv-26_session_1_D1:6,conv-26,"Wow, love that painting! So cool you found such a helpful group. What's it done for you?",Melanie admired a painting and asked how a helpful group had benefited the speaker.,,,,
conv-26_session_1_D1:7,conv-26,The support group has made me feel accepted and given me courage to embrace myself.,"Caroline felt accepted and empowered by her support group, gaining courage to embrace her true self.","accept, caroline",accept,"accept, accepted, caroline, courage, embrace, feel, given, group, made, support","(caroline, accept, accept)"
conv-26_session_1_D1:8,conv-26,That's really cool. You've got guts. What now?,"Melanie praised your courage at 1:56 pm on May 8, 2023, and asked what your next step would be.",,,,
conv-26_session_1_D1:9,conv-26,"Gonna continue my edu and check out career options, which is pretty exciting!","Caroline plans to continue her education and explore career options, feeling excited about it.","caroline, plan",plan,"career, caroline, check, continue, edu, exciting, gonna, options, plan, pretty","(caroline, plan, plan)"
conv-26_session_1_D1:10,conv-26,"Wow, Caroline! What kinda jobs are you thinkin' of? Anything that stands out?","Melanie asked Caroline about the types of jobs she is considering, specifically if any stand out.",,,,
conv-26_session_1_D1:11,conv-26,I'm keen on counseling or working in mental health - I'd love to support those with similar issues.,"Caroline expressed interest in a mental health career, wanting to support others with similar struggles.",,,,
conv-26_session_1_D1:12,conv-26,"You'd be a great counselor! Your empathy and understanding will really help the people you work with. By the way, take a look at this.","Melanie said at 1:56 pm on May 8, 2023, that your empathy and understanding would make you a great counselor, then asked you to look at something.",,,,
conv-26_session_1_D1:13,conv-26,"Thanks, Melanie! That's really sweet. Is this your own painting?",Caroline thanked Melanie for a painting and asked if it was her own work.,,,,
conv-26_session_1_D1:14,conv-26,"Yeah, I painted that lake sunrise last year! It's special to me.","Melanie painted a lake sunrise last year, and it holds personal significance to her.","lake, melanie, sunrise",paint,"lake, last, melanie, painted, special, sunrise, yeah, year","(melanie, paint, a_lake_sunrise)"
conv-26_session_1_D1:15,conv-26,"Wow, Melanie! The colors really blend nicely. Painting looks like a great outlet for expressing yourself.","Caroline complimented Melanie on her painting, noting the nice color blend and praising it as a great form of self-expression.",,,,
