qa_id,category,ERK_F1,ERKT_F1,f1_outcome,ERK_EM,ERKT_EM,em_outcome,ERK_abstain,ERKT_abstain,abstain_outcome
conv-26_qa_0,2,0.666667,0.666667,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-26_qa_1,2,0.0,0.0,tied,0.0,0.0,both_incorrect,0,1,erkt_new_error
conv-26_qa_10,2,1.0,1.0,tied,1.0,1.0,both_correct,0,0,both_answered
conv-26_qa_100,4,0.333333,0.933333,erkt_better,0.0,0.0,both_incorrect,0,0,both_answered
conv-26_qa_101,4,1.0,1.0,tied,1.0,1.0,both_correct,0,0,both_answered
conv-26_qa_102,4,1.0,1.0,tied,1.0,1.0,both_correct,0,0,both_answered
conv-26_qa_103,4,1.0,1.0,tied,1.0,1.0,both_correct,0,0,both_answered
conv-26_qa_104,4,1.0,1.0,tied,1.0,1.0,both_correct,0,0,both_answered
conv-26_qa_105,4,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-26_qa_106,4,1.0,1.0,tied,1.0,1.0,both_correct,0,0,both_answered
conv-26_qa_107,4,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-26_qa_108,4,0.4,0.4,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-26_qa_109,4,1.0,1.0,tied,1.0,1.0,both_correct,0,0,both_answered
conv-26_qa_11,1,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-26_qa_110,4,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-26_qa_111,4,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-26_qa_112,4,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-26_qa_113,4,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-26_qa_114,4,1.0,1.0,tied,1.0,1.0,both_correct,0,0,both_answered
conv-26_qa_115,4,0.571429,0.571429,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-26_qa_116,4,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-26_qa_117,4,1.0,1.0,tied,1.0,1.0,both_correct,0,0,both_answered
conv-26_qa_118,4,1.0,1.0,tied,1.0,1.0,both_correct,0,0,both_answered
conv-26_qa_119,4,0.0,0.8,erkt_better,0.0,0.0,both_incorrect,0,0,both_answered
conv-26_qa_12,2,1.0,1.0,tied,1.0,1.0,both_correct,0,0,both_answered
conv-26_qa_120,4,0.666667,0.75,erkt_better,0.0,0.0,both_incorrect,0,0,both_answered
conv-26_qa_121,4,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-26_qa_122,4,0.875,0.875,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-26_qa_123,4,0.666667,0.666667,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-26_qa_124,4,0.285714,0.2,erk_better,0.0,0.0,both_incorrect,0,0,both_answered
conv-26_qa_125,4,0.571429,0.571429,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-26_qa_126,4,1.0,1.0,tied,1.0,1.0,both_correct,0,0,both_answered
conv-26_qa_127,4,1.0,1.0,tied,1.0,1.0,both_correct,0,0,both_answered
conv-26_qa_128,4,0.5,0.5,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-26_qa_129,4,0.4,0.4,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-26_qa_13,1,0.545455,0.545455,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-26_qa_130,4,1.0,1.0,tied,1.0,1.0,both_correct,0,0,both_answered
conv-26_qa_131,4,1.0,1.0,tied,1.0,1.0,both_correct,0,0,both_answered
conv-26_qa_132,4,0.8,0.8,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-26_qa_133,4,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-26_qa_134,4,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-26_qa_135,4,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-26_qa_136,4,0.0,0.0,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-26_qa_137,4,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-26_qa_138,4,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-26_qa_139,4,0.428571,0.428571,tied,0.0,0.0,both_incorrect,0,0,both_answered
conv-26_qa_14,3,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
conv-26_qa_140,4,0.0,0.0,tied,0.0,0.0,both_incorrect,1,1,both_abstain
