query_id,conversation_id,category,R@1,R@10,MRR,Hit@10,method
conv-26_qa_0,conv-26,2,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-26_qa_1,conv-26,2,0.0,0.0,0.0,0.0,ZScore_RawERK
conv-26_qa_10,conv-26,2,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-26_qa_100,conv-26,4,0.0,0.0,0.0,0.0,ZScore_RawERK
conv-26_qa_101,conv-26,4,0.0,1.0,0.5,1.0,ZScore_RawERK
conv-26_qa_102,conv-26,4,0.0,1.0,0.3333333333333333,1.0,ZScore_RawERK
conv-26_qa_103,conv-26,4,0.0,1.0,0.5,1.0,ZScore_RawERK
conv-26_qa_104,conv-26,4,0.0,1.0,0.16666666666666666,1.0,ZScore_RawERK
conv-26_qa_105,conv-26,4,0.0,0.0,0.0,0.0,ZScore_RawERK
conv-26_qa_106,conv-26,4,0.0,1.0,0.1111111111111111,1.0,ZScore_RawERK
conv-26_qa_107,conv-26,4,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-26_qa_108,conv-26,4,0.0,1.0,0.1111111111111111,1.0,ZScore_RawERK
conv-26_qa_109,conv-26,4,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-26_qa_11,conv-26,1,0.0,1.0,0.3333333333333333,1.0,ZScore_RawERK
conv-26_qa_110,conv-26,4,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-26_qa_111,conv-26,4,0.0,1.0,0.25,1.0,ZScore_RawERK
conv-26_qa_112,conv-26,4,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-26_qa_113,conv-26,4,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-26_qa_114,conv-26,4,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-26_qa_115,conv-26,4,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-26_qa_116,conv-26,4,0.0,0.0,0.0,0.0,ZScore_RawERK
conv-26_qa_117,conv-26,4,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-26_qa_118,conv-26,4,0.0,1.0,0.5,1.0,ZScore_RawERK
conv-26_qa_119,conv-26,4,0.0,1.0,0.25,1.0,ZScore_RawERK
conv-26_qa_12,conv-26,2,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-26_qa_120,conv-26,4,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-26_qa_121,conv-26,4,0.0,1.0,0.1,1.0,ZScore_RawERK
conv-26_qa_122,conv-26,4,0.0,1.0,0.16666666666666666,1.0,ZScore_RawERK
conv-26_qa_123,conv-26,4,0.0,1.0,0.16666666666666666,1.0,ZScore_RawERK
conv-26_qa_124,conv-26,4,0.0,0.0,0.0,0.0,ZScore_RawERK
conv-26_qa_125,conv-26,4,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-26_qa_126,conv-26,4,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-26_qa_127,conv-26,4,0.0,1.0,0.14285714285714285,1.0,ZScore_RawERK
conv-26_qa_128,conv-26,4,0.0,1.0,0.2,1.0,ZScore_RawERK
conv-26_qa_129,conv-26,4,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-26_qa_13,conv-26,1,0.0,1.0,0.16666666666666666,1.0,ZScore_RawERK
conv-26_qa_130,conv-26,4,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-26_qa_131,conv-26,4,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-26_qa_132,conv-26,4,0.0,1.0,0.16666666666666666,1.0,ZScore_RawERK
conv-26_qa_133,conv-26,4,0.0,1.0,0.3333333333333333,1.0,ZScore_RawERK
conv-26_qa_134,conv-26,4,0.0,0.0,0.0,0.0,ZScore_RawERK
conv-26_qa_135,conv-26,4,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-26_qa_136,conv-26,4,0.0,0.0,0.0,0.0,ZScore_RawERK
conv-26_qa_137,conv-26,4,0.0,0.0,0.0,0.0,ZScore_RawERK
conv-26_qa_138,conv-26,4,0.0,0.0,0.0,0.0,ZScore_RawERK
conv-26_qa_139,conv-26,4,0.0,0.0,0.0,0.0,ZScore_RawERK
conv-26_qa_14,conv-26,3,0.0,1.0,0.16666666666666666,1.0,ZScore_RawERK
conv-26_qa_140,conv-26,4,0.0,1.0,0.5,1.0,ZScore_RawERK
conv-26_qa_141,conv-26,4,0.0,1.0,0.5,1.0,ZScore_RawERK
conv-26_qa_142,conv-26,4,0.0,0.0,0.0,0.0,ZScore_RawERK
conv-26_qa_143,conv-26,4,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-26_qa_144,conv-26,4,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-26_qa_145,conv-26,4,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-26_qa_146,conv-26,4,0.0,1.0,0.16666666666666666,1.0,ZScore_RawERK
