query_id,question,category,conversation_id,gold_memory_ids,split
conv-26_qa_0,When did Caroline go to the LGBTQ support group?,2,conv-26,conv-26_session_1_D1:3,test
conv-26_qa_1,When did Melanie paint a sunrise?,2,conv-26,conv-26_session_1_D1:12,test
conv-26_qa_2,What fields would Caroline be likely to pursue in her educaton?,3,conv-26,conv-26_session_1_D1:9;conv-26_session_1_D1:11,test
conv-26_qa_3,What did Caroline research?,1,conv-26,conv-26_session_2_D2:8,test
conv-26_qa_4,What is Caroline's identity?,1,conv-26,conv-26_session_1_D1:5,test
conv-26_qa_5,When did Melanie run a charity race?,2,conv-26,conv-26_session_2_D2:1,test
conv-26_qa_6,When is Melanie planning on going camping?,2,conv-26,conv-26_session_2_D2:7,test
conv-26_qa_7,What is Caroline's relationship status?,1,conv-26,conv-26_session_3_D3:13;conv-26_session_2_D2:14,test
conv-26_qa_8,When did Caroline give a speech at a school?,2,conv-26,conv-26_session_3_D3:1,test
conv-26_qa_9,"When did Caroline meet up with her friends, family, and mentors?",2,conv-26,conv-26_session_3_D3:11,test
conv-26_qa_10,How long has Caroline had her current group of friends for?,2,conv-26,conv-26_session_3_D3:13,test
conv-26_qa_11,Where did Caroline move from 4 years ago?,1,conv-26,conv-26_session_3_D3:13;conv-26_session_4_D4:3,test
conv-26_qa_12,How long ago was Caroline's 18th birthday?,2,conv-26,conv-26_session_4_D4:5,test
conv-26_qa_13,What career path has Caroline decided to persue?,1,conv-26,conv-26_session_4_D4:13;conv-26_session_1_D1:11,test
conv-26_qa_14,Would Caroline still want to pursue counseling as a career if she hadn't received support growing up?,3,conv-26,conv-26_session_4_D4:15;conv-26_session_3_D3:5,test
conv-26_qa_15,What activities does Melanie partake in?,1,conv-26,conv-26_session_5_D5:4;conv-26_session_9_D9:1;conv-26_session_1_D1:12;conv-26_session_1_D1:18,test
conv-26_qa_16,When did Melanie sign up for a pottery class?,2,conv-26,conv-26_session_5_D5:4,test
conv-26_qa_17,When is Caroline going to the transgender conference?,2,conv-26,conv-26_session_5_D5:13,test
conv-26_qa_18,Where has Melanie camped?,1,conv-26,conv-26_session_6_D6:16;conv-26_session_4_D4:6;conv-26_session_8_D8:32,test
conv-26_qa_19,What do Melanie's kids like?,1,conv-26,conv-26_session_6_D6:6;conv-26_session_4_D4:8,test
conv-26_qa_20,When did Melanie go to the museum?,2,conv-26,conv-26_session_6_D6:4,test
conv-26_qa_21,When did Caroline have a picnic?,2,conv-26,conv-26_session_6_D6:11,test
conv-26_qa_22,Would Caroline likely have Dr. Seuss books on her bookshelf?,3,conv-26,conv-26_session_6_D6:9,test
conv-26_qa_23,What books has Melanie read?,1,conv-26,conv-26_session_7_D7:8;conv-26_session_6_D6:10,test
conv-26_qa_24,What does Melanie do to destress?,1,conv-26,conv-26_session_7_D7:22;conv-26_session_5_D5:4,test
conv-26_qa_25,When did Caroline go to the LGBTQ conference?,2,conv-26,conv-26_session_7_D7:1,test
conv-26_qa_26,"When did Melanie read the book ""nothing is impossible""?",2,conv-26,conv-26_session_7_D7:8,test
conv-26_qa_27,Would Caroline pursue writing as a career option?,3,conv-26,conv-26_session_7_D7:5;conv-26_session_7_D7:9,test
conv-26_qa_28,When did Caroline go to the adoption meeting?,2,conv-26,conv-26_session_8_D8:9,test
conv-26_qa_29,When did Melanie go to the pottery workshop?,2,conv-26,conv-26_session_8_D8:2,test
conv-26_qa_30,Would Melanie be considered a member of the LGBTQ community?,3,conv-26,,test
conv-26_qa_31,When did Melanie go camping in June?,2,conv-26,conv-26_session_4_D4:8,test
conv-26_qa_32,What LGBTQ+ events has Caroline participated in?,1,conv-26,conv-26_session_5_D5:1;conv-26_session_8_D8:17;conv-26_session_3_D3:1;conv-26_session_1_D1:3,test
conv-26_qa_33,When did Caroline go to a pride parade during the summer?,2,conv-26,conv-26_session_5_D5:1,test
conv-26_qa_34,What events has Caroline participated in to help children?,1,conv-26,conv-26_session_9_D9:2;conv-26_session_3_D3:3,test
conv-26_qa_35,When did Melanie go camping in July?,2,conv-26,conv-26_session_9_D9:1,test
conv-26_qa_36,When did Caroline join a mentorship program?,2,conv-26,conv-26_session_9_D9:2,test
conv-26_qa_37,What did Melanie paint recently?,1,conv-26,conv-26_unknown_D8:6; D9:17,test
conv-26_qa_38,What activities has Melanie done with her family?,1,conv-26,conv-26_session_8_D8:4;conv-26_session_8_D8:6;conv-26_session_9_D9:1;conv-26_session_6_D6:4;conv-26_session_1_D1:18;conv-26_session_3_D3:14,test
conv-26_qa_39,In what ways is Caroline participating in the LGBTQ community?,1,conv-26,conv-26_session_10_D10:3;conv-26_session_5_D5:1;conv-26_session_9_D9:12;conv-26_session_9_D9:2,test
conv-26_qa_40,How many times has Melanie gone to the beach in 2023?,1,conv-26,conv-26_session_10_D10:8;conv-26_session_6_D6:16,test
conv-26_qa_41,When did Caroline join a new activist group?,2,conv-26,conv-26_session_10_D10:3,test
conv-26_qa_42,Would Melanie be more interested in going to a national park or a theme park?,3,conv-26,conv-26_session_10_D10:12;conv-26_session_10_D10:14,test
conv-26_qa_43,What kind of art does Caroline make?,1,conv-26,conv-26_session_11_D11:12;conv-26_session_11_D11:8;conv-26_session_9_D9:14,test
conv-26_qa_44,When is Melanie's daughter's birthday?,2,conv-26,conv-26_session_11_D11:1,test
conv-26_qa_45,When did Caroline attend a pride parade in August?,2,conv-26,conv-26_session_11_D11:4,test
conv-26_qa_46,Would Melanie be considered an ally to the transgender community?,3,conv-26,,test
conv-26_qa_47,Who supports Caroline when she has a negative experience?,1,conv-26,conv-26_session_12_D12:1;conv-26_session_3_D3:11,test
conv-26_qa_48,What types of pottery have Melanie and her kids made?,1,conv-26,conv-26_session_12_D12:14;conv-26_session_8_D8:4;conv-26_session_5_D5:6,test
conv-26_qa_49,When did Caroline and Melanie go to a pride fesetival together?,2,conv-26,conv-26_session_12_D12:15,test
conv-26_qa_50,What would Caroline's political leaning likely be?,3,conv-26,conv-26_session_12_D12:1,test
conv-26_qa_51,What has Melanie painted?,1,conv-26,conv-26_session_13_D13:8;conv-26_session_8_D8:6;conv-26_session_1_D1:12,test
conv-26_qa_52,What are Melanie's pets' names?,1,conv-26,conv-26_session_13_D13:4;conv-26_session_7_D7:18,test
conv-26_qa_53,When did Caroline apply to adoption agencies?,2,conv-26,conv-26_session_13_D13:1,test
conv-26_qa_54,When did Caroline draw a self-portrait?,2,conv-26,conv-26_session_13_D13:11,test
conv-26_qa_55,What subject have Caroline and Melanie both painted?,1,conv-26,conv-26_session_14_D14:5;conv-26_session_8_D8:6,test
conv-26_qa_56,What symbols are important to Caroline?,1,conv-26,conv-26_session_14_D14:15;conv-26_session_4_D4:1,test
conv-26_qa_57,When did Caroline encounter people on a hike and have a negative experience?,2,conv-26,conv-26_session_14_D14:1,test
conv-26_qa_58,When did Melanie make a plate in pottery class?,2,conv-26,conv-26_session_14_D14:4,test
conv-26_qa_59,Would Caroline be considered religious?,3,conv-26,conv-26_session_14_D14:19;conv-26_session_12_D12:1,test
conv-26_qa_60,What instruments does Melanie play?,1,conv-26,conv-26_session_15_D15:26;conv-26_session_2_D2:5,test
conv-26_qa_61,What musical artists/bands has Melanie seen?,1,conv-26,conv-26_session_15_D15:16;conv-26_session_11_D11:3,test
conv-26_qa_62,When did Melanie go to the park?,2,conv-26,conv-26_session_15_D15:2,test
conv-26_qa_63,When is Caroline's youth center putting on a talent show?,2,conv-26,conv-26_session_15_D15:11,test
conv-26_qa_64,"Would Melanie likely enjoy the song ""The Four Seasons"" by Vivaldi?",3,conv-26,conv-26_session_15_D15:28,test
conv-26_qa_65,What are some changes Caroline has faced during her transition journey?,1,conv-26,conv-26_session_16_D16:15;conv-26_session_11_D11:14,test
conv-26_qa_66,What does Melanie do with her family on hikes?,1,conv-26,conv-26_session_16_D16:4;conv-26_session_10_D10:12,test
conv-26_qa_67,When did Caroline go biking with friends?,2,conv-26,conv-26_session_16_D16:1,test
conv-26_qa_68,How long has Melanie been practicing art?,2,conv-26,conv-26_session_16_D16:8,test
conv-26_qa_69,What personality traits might Melanie say Caroline has?,3,conv-26,conv-26_session_16_D16:18;conv-26_session_13_D13:16;conv-26_session_7_D7:4,test
conv-26_qa_70,What transgender-specific events has Caroline attended?,1,conv-26,conv-26_session_17_D17:19;conv-26_session_15_D15:13,test
conv-26_qa_71,What book did Melanie read from Caroline's suggestion?,1,conv-26,conv-26_session_7_D7:11;conv-26_session_17_D17:10,test
conv-26_qa_72,When did Melanie's friend adopt a child?,2,conv-26,conv-26_session_17_D17:3,test
conv-26_qa_73,When did Melanie get hurt?,2,conv-26,conv-26_session_17_D17:8,test
conv-26_qa_74,When did Melanie's family go on a roadtrip?,2,conv-26,conv-26_session_18_D18:1,test
conv-26_qa_75,How many children does Melanie have?,1,conv-26,conv-26_session_18_D18:1;conv-26_session_18_D18:7,test
conv-26_qa_76,When did Melanie go on a hike after the roadtrip?,1,conv-26,conv-26_session_18_D18:17,test
conv-26_qa_77,Would Melanie go on another roadtrip soon?,3,conv-26,conv-26_session_18_D18:3;conv-26_session_18_D18:1,test
conv-26_qa_78,What items has Melanie bought?,1,conv-26,conv-26_session_19_D19:2;conv-26_session_7_D7:18,test
conv-26_qa_79,When did Caroline pass the adoption interview?,2,conv-26,conv-26_session_19_D19:1,test
conv-26_qa_80,When did Melanie buy the figurines?,2,conv-26,conv-26_session_19_D19:2,test
conv-26_qa_81,Would Caroline want to move back to her home country soon?,3,conv-26,conv-26_session_19_D19:1;conv-26_session_19_D19:3,test
conv-26_qa_82,What did the charity race raise awareness for?,4,conv-26,conv-26_session_2_D2:2,test
conv-26_qa_83,What did Melanie realize after the charity race?,4,conv-26,conv-26_session_2_D2:3,test
conv-26_qa_84,How does Melanie prioritize self-care?,4,conv-26,conv-26_session_2_D2:5,test
conv-26_qa_85,What are Caroline's plans for the summer?,4,conv-26,conv-26_session_2_D2:8,test
conv-26_qa_86,What type of individuals does the adoption agency Caroline is considering support?,4,conv-26,conv-26_session_2_D2:12,test
conv-26_qa_87,Why did Caroline choose the adoption agency?,4,conv-26,conv-26_session_2_D2:12,test
conv-26_qa_88,What is Caroline excited about in the adoption process?,4,conv-26,conv-26_session_2_D2:14,test
conv-26_qa_89,What does Melanie think about Caroline's decision to adopt?,4,conv-26,conv-26_session_2_D2:15,test
conv-26_qa_90,How long have Mel and her husband been married?,4,conv-26,conv-26_session_3_D3:16,test
conv-26_qa_91,What does Caroline's necklace symbolize?,4,conv-26,conv-26_session_4_D4:3,test
conv-26_qa_92,What country is Caroline's grandma from?,4,conv-26,conv-26_session_4_D4:3,test
conv-26_qa_93,What was grandma's gift to Caroline?,4,conv-26,conv-26_session_4_D4:3,test
conv-26_qa_94,What is Melanie's hand-painted bowl a reminder of?,4,conv-26,conv-26_session_4_D4:5,test
conv-26_qa_95,What did Melanie and her family do while camping?,4,conv-26,conv-26_session_4_D4:8,test
conv-26_qa_96,What kind of counseling and mental health services is Caroline interested in pursuing?,4,conv-26,conv-26_session_4_D4:13,test
