qa_id,sample_id,category,question,gold_memory_ids,gold_count
conv-26_qa_0,conv-26,2,When did Caroline go to the LGBTQ support group?,"[""conv-26_session_1_D1:3""]",1
conv-26_qa_1,conv-26,2,When did Melanie paint a sunrise?,"[""conv-26_session_1_D1:12""]",1
conv-26_qa_2,conv-26,3,What fields would Caroline be likely to pursue in her educaton?,"[""conv-26_session_1_D1:9"", ""conv-26_session_1_D1:11""]",2
conv-26_qa_3,conv-26,1,What did Caroline research?,"[""conv-26_session_2_D2:8""]",1
conv-26_qa_4,conv-26,1,What is Caroline's identity?,"[""conv-26_session_1_D1:5""]",1
conv-26_qa_5,conv-26,2,When did Melanie run a charity race?,"[""conv-26_session_2_D2:1""]",1
conv-26_qa_6,conv-26,2,When is Melanie planning on going camping?,"[""conv-26_session_2_D2:7""]",1
conv-26_qa_7,conv-26,1,What is Caroline's relationship status?,"[""conv-26_session_3_D3:13"", ""conv-26_session_2_D2:14""]",2
conv-26_qa_8,conv-26,2,When did Caroline give a speech at a school?,"[""conv-26_session_3_D3:1""]",1
conv-26_qa_9,conv-26,2,"When did Caroline meet up with her friends, family, and mentors?","[""conv-26_session_3_D3:11""]",1
conv-26_qa_10,conv-26,2,How long has Caroline had her current group of friends for?,"[""conv-26_session_3_D3:13""]",1
conv-26_qa_11,conv-26,1,Where did Caroline move from 4 years ago?,"[""conv-26_session_3_D3:13"", ""conv-26_session_4_D4:3""]",2
conv-26_qa_12,conv-26,2,How long ago was Caroline's 18th birthday?,"[""conv-26_session_4_D4:5""]",1
conv-26_qa_13,conv-26,1,What career path has Caroline decided to persue?,"[""conv-26_session_4_D4:13"", ""conv-26_session_1_D1:11""]",2
conv-26_qa_14,conv-26,3,Would Caroline still want to pursue counseling as a career if she hadn't received support growing up?,"[""conv-26_session_4_D4:15"", ""conv-26_session_3_D3:5""]",2
conv-26_qa_15,conv-26,1,What activities does Melanie partake in?,"[""conv-26_session_5_D5:4"", ""conv-26_session_9_D9:1"", ""conv-26_session_1_D1:12"", ""conv-26_session_1_D1:18""]",4
conv-26_qa_16,conv-26,2,When did Melanie sign up for a pottery class?,"[""conv-26_session_5_D5:4""]",1
conv-26_qa_17,conv-26,2,When is Caroline going to the transgender conference?,"[""conv-26_session_5_D5:13""]",1
conv-26_qa_18,conv-26,1,Where has Melanie camped?,"[""conv-26_session_6_D6:16"", ""conv-26_session_4_D4:6"", ""conv-26_session_8_D8:32""]",3
conv-26_qa_19,conv-26,1,What do Melanie's kids like?,"[""conv-26_session_6_D6:6"", ""conv-26_session_4_D4:8""]",2
conv-26_qa_20,conv-26,2,When did Melanie go to the museum?,"[""conv-26_session_6_D6:4""]",1
conv-26_qa_21,conv-26,2,When did Caroline have a picnic?,"[""conv-26_session_6_D6:11""]",1
conv-26_qa_22,conv-26,3,Would Caroline likely have Dr. Seuss books on her bookshelf?,"[""conv-26_session_6_D6:9""]",1
conv-26_qa_23,conv-26,1,What books has Melanie read?,"[""conv-26_session_7_D7:8"", ""conv-26_session_6_D6:10""]",2
conv-26_qa_24,conv-26,1,What does Melanie do to destress?,"[""conv-26_session_7_D7:22"", ""conv-26_session_5_D5:4""]",2
conv-26_qa_25,conv-26,2,When did Caroline go to the LGBTQ conference?,"[""conv-26_session_7_D7:1""]",1
conv-26_qa_26,conv-26,2,"When did Melanie read the book ""nothing is impossible""?","[""conv-26_session_7_D7:8""]",1
conv-26_qa_27,conv-26,3,Would Caroline pursue writing as a career option?,"[""conv-26_session_7_D7:5"", ""conv-26_session_7_D7:9""]",2
conv-26_qa_28,conv-26,2,When did Caroline go to the adoption meeting?,"[""conv-26_session_8_D8:9""]",1
conv-26_qa_29,conv-26,2,When did Melanie go to the pottery workshop?,"[""conv-26_session_8_D8:2""]",1
conv-26_qa_31,conv-26,2,When did Melanie go camping in June?,"[""conv-26_session_4_D4:8""]",1
conv-26_qa_32,conv-26,1,What LGBTQ+ events has Caroline participated in?,"[""conv-26_session_5_D5:1"", ""conv-26_session_8_D8:17"", ""conv-26_session_3_D3:1"", ""conv-26_session_1_D1:3""]",4
conv-26_qa_33,conv-26,2,When did Caroline go to a pride parade during the summer?,"[""conv-26_session_5_D5:1""]",1
conv-26_qa_34,conv-26,1,What events has Caroline participated in to help children?,"[""conv-26_session_9_D9:2"", ""conv-26_session_3_D3:3""]",2
conv-26_qa_35,conv-26,2,When did Melanie go camping in July?,"[""conv-26_session_9_D9:1""]",1
conv-26_qa_36,conv-26,2,When did Caroline join a mentorship program?,"[""conv-26_session_9_D9:2""]",1
conv-26_qa_37,conv-26,1,What did Melanie paint recently?,"[""conv-26_session_8_D8:6"", ""conv-26_session_9_D9:17""]",2
conv-26_qa_38,conv-26,1,What activities has Melanie done with her family?,"[""conv-26_session_8_D8:4"", ""conv-26_session_8_D8:6"", ""conv-26_session_9_D9:1"", ""conv-26_session_6_D6:4"", ""conv-26_session_1_D1:18"", ""conv-26_session_3_D3:14""]",6
conv-26_qa_39,conv-26,1,In what ways is Caroline participating in the LGBTQ community?,"[""conv-26_session_10_D10:3"", ""conv-26_session_5_D5:1"", ""conv-26_session_9_D9:12"", ""conv-26_session_9_D9:2""]",4
conv-26_qa_40,conv-26,1,How many times has Melanie gone to the beach in 2023?,"[""conv-26_session_10_D10:8"", ""conv-26_session_6_D6:16""]",2
conv-26_qa_41,conv-26,2,When did Caroline join a new activist group?,"[""conv-26_session_10_D10:3""]",1
conv-26_qa_42,conv-26,3,Would Melanie be more interested in going to a national park or a theme park?,"[""conv-26_session_10_D10:12"", ""conv-26_session_10_D10:14""]",2
conv-26_qa_43,conv-26,1,What kind of art does Caroline make?,"[""conv-26_session_11_D11:12"", ""conv-26_session_11_D11:8"", ""conv-26_session_9_D9:14""]",3
conv-26_qa_44,conv-26,2,When is Melanie's daughter's birthday?,"[""conv-26_session_11_D11:1""]",1
conv-26_qa_45,conv-26,2,When did Caroline attend a pride parade in August?,"[""conv-26_session_11_D11:4""]",1
conv-26_qa_47,conv-26,1,Who supports Caroline when she has a negative experience?,"[""conv-26_session_12_D12:1"", ""conv-26_session_3_D3:11""]",2
conv-26_qa_48,conv-26,1,What types of pottery have Melanie and her kids made?,"[""conv-26_session_12_D12:14"", ""conv-26_session_8_D8:4"", ""conv-26_session_5_D5:6""]",3
conv-26_qa_49,conv-26,2,When did Caroline and Melanie go to a pride fesetival together?,"[""conv-26_session_12_D12:15""]",1
conv-26_qa_50,conv-26,3,What would Caroline's political leaning likely be?,"[""conv-26_session_12_D12:1""]",1
conv-26_qa_51,conv-26,1,What has Melanie painted?,"[""conv-26_session_13_D13:8"", ""conv-26_session_8_D8:6"", ""conv-26_session_1_D1:12""]",3
conv-26_qa_52,conv-26,1,What are Melanie's pets' names?,"[""conv-26_session_13_D13:4"", ""conv-26_session_7_D7:18""]",2
conv-26_qa_53,conv-26,2,When did Caroline apply to adoption agencies?,"[""conv-26_session_13_D13:1""]",1
conv-26_qa_54,conv-26,2,When did Caroline draw a self-portrait?,"[""conv-26_session_13_D13:11""]",1
conv-26_qa_55,conv-26,1,What subject have Caroline and Melanie both painted?,"[""conv-26_session_14_D14:5"", ""conv-26_session_8_D8:6""]",2
conv-26_qa_56,conv-26,1,What symbols are important to Caroline?,"[""conv-26_session_14_D14:15"", ""conv-26_session_4_D4:1""]",2
conv-26_qa_57,conv-26,2,When did Caroline encounter people on a hike and have a negative experience?,"[""conv-26_session_14_D14:1""]",1
conv-26_qa_58,conv-26,2,When did Melanie make a plate in pottery class?,"[""conv-26_session_14_D14:4""]",1
conv-26_qa_59,conv-26,3,Would Caroline be considered religious?,"[""conv-26_session_14_D14:19"", ""conv-26_session_12_D12:1""]",2
conv-26_qa_60,conv-26,1,What instruments does Melanie play?,"[""conv-26_session_15_D15:26"", ""conv-26_session_2_D2:5""]",2
conv-26_qa_61,conv-26,1,What musical artists/bands has Melanie seen?,"[""conv-26_session_15_D15:16"", ""conv-26_session_11_D11:3""]",2
conv-26_qa_62,conv-26,2,When did Melanie go to the park?,"[""conv-26_session_15_D15:2""]",1
conv-26_qa_63,conv-26,2,When is Caroline's youth center putting on a talent show?,"[""conv-26_session_15_D15:11""]",1
conv-26_qa_64,conv-26,3,"Would Melanie likely enjoy the song ""The Four Seasons"" by Vivaldi?","[""conv-26_session_15_D15:28""]",1
