qa_id,P3_frozen,P4_repl2,same
conv-26_qa_0,Cannot answer,"1:56 pm on 8 May, 2023",False
conv-26_qa_1,Last year,last year,False
conv-26_qa_10,4 years,4 years,True
conv-26_qa_100,A safe and loving home.,A safe and loving home.,True
conv-26_qa_101,Yes,Yes,True
conv-26_qa_102,"Kids' books- classics, stories from different cultures, educ","Kids' books- classics, stories from different cultures, educ",True
conv-26_qa_103,Charlotte's Web,Charlotte's Web,True
conv-26_qa_104,"""Becoming Nicole"" by Amy Ellis Nutt",Cannot answer,False
conv-26_qa_105,Cannot answer,Self-acceptance and finding support.,False
conv-26_qa_106,Running,Running,True
conv-26_qa_107,Cannot answer,Cannot answer,True
conv-26_qa_108,her headspace,her headspace,True
conv-26_qa_109,pots,pots,True
conv-26_qa_11,Cannot answer,Cannot answer,True
conv-26_qa_110,Cannot answer,Cannot answer,True
conv-26_qa_111,Cannot answer,Cannot answer,True
conv-26_qa_112,Cannot answer,Cannot answer,True
conv-26_qa_113,Cannot answer,Cannot answer,True
conv-26_qa_114,warmth and happiness,warmth and happiness,True
conv-26_qa_115,They remind her of her wedding day.,They remind her of her wedding day.,True
conv-26_qa_116,Cannot answer,Cannot answer,True
conv-26_qa_117,once or twice a year,once or twice a year,True
conv-26_qa_118,Perseid meteor shower,Perseid meteor shower,True
conv-26_qa_119,tiny and in awe of the universe,Tiny and in awe of the universe.,False
conv-26_qa_12,10 years ago,10 years ago,True
conv-26_qa_120,Melanie's daughter's birthday,Her daughter's,False
conv-26_qa_121,Matt Patterson,Matt Patterson,True
conv-26_qa_122,To catch the eye and make people smile.,To catch the eye and make people smile.,True
conv-26_qa_123,"Oscar, my guinea pig.","Oscar, my guinea pig",False
conv-26_qa_124,Luna and Oliver,Luna and Oliver,True
conv-26_qa_125,In my slipper,In my slipper,True
conv-26_qa_126,horseback riding,horseback riding,True
conv-26_qa_127,A stained glass window,a stained glass window,False
conv-26_qa_128,a cool rainbow sidewalk for Pride Month,a cool rainbow sidewalk for Pride Month,True
conv-26_qa_129,Brave,Brave,True
conv-26_qa_13,Counseling and mental health.,Cannot answer,False
conv-26_qa_130,Bach and Mozart,Bach and Mozart,True
conv-26_qa_131,Ed Sheeran,Ed Sheeran,True
conv-26_qa_132,Seven years now.,Cannot answer,False
conv-26_qa_133,Cannot answer,Cannot answer,True
conv-26_qa_134,Cannot answer,Cannot answer,True
conv-26_qa_135,Cannot answer,Cannot answer,True
conv-26_qa_136,Cannot answer,Cannot answer,True
conv-26_qa_137,Cannot answer,Cannot answer,True
conv-26_qa_138,Cannot answer,Cannot answer,True
conv-26_qa_139,transgender poetry reading,transgender poetry reading,True
conv-26_qa_14,Cannot answer,Cannot answer,True
conv-26_qa_140,Cannot answer,Cannot answer,True
conv-26_qa_141,freedom and being real,freedom and being real,True
conv-26_qa_142,"They describe it as a shared journey of learning, exploring,",Life's about learning and exploring.,False
conv-26_qa_143,He got into an accident.,He got into an accident.,True
conv-26_qa_144,Cannot answer,Cannot answer,True
conv-26_qa_145,She thought about how much she needs them and felt thankful.,She thought about how much she needs them and they mean the ,False
conv-26_qa_146,They were scared but we reassured them and explained their b,They were scared but we reassured them and explained their b,False
conv-26_qa_147,She was scared.,scared,False
conv-26_qa_148,"Thankfully, they enjoyed the Grand Canyon a lot!","Thankfully, they enjoyed the Grand Canyon a lot!",True
conv-26_qa_149,love and support,love and support,True
conv-26_qa_15,"Running, reading, playing violin, hiking, pottery, painting,","Running, reading, playing violin, hiking, pottery, painting,",True
conv-26_qa_150,Great,Great,True
conv-26_qa_151,camping,camping,True
conv-26_qa_16,yesterday,yesterday,True
conv-26_qa_17,Cannot answer,Cannot answer,True
conv-26_qa_18,"mountains, forest","mountains, forest",True
conv-26_qa_19,Cannot answer,Cannot answer,True
conv-26_qa_2,Counseling or mental health.,counseling or mental health,False
conv-26_qa_20,Cannot answer,"6 July, 2023",False
conv-26_qa_21,Cannot answer,Cannot answer,True
conv-26_qa_22,Cannot answer,Cannot answer,True
conv-26_qa_23,Cannot answer,Cannot answer,True
conv-26_qa_24,Running.,Running,False
conv-26_qa_25,Cannot answer,"12 July, 2023",False
conv-26_qa_26,Cannot answer,Cannot answer,True
conv-26_qa_27,Cannot answer,Cannot answer,True
conv-26_qa_28,Last Friday,Last Friday,True
conv-26_qa_29,Last Fri,"Last Fri (15 July, 2023)",False
conv-26_qa_3,adoption agencies,adoption agencies,True
conv-26_qa_30,Cannot answer,Cannot answer,True
conv-26_qa_31,Cannot answer,Cannot answer,True
conv-26_qa_32,"LGBTQ+ pride parade, LGBTQ support group, mentorship program","LGBTQ+ pride parade, LGBTQ support group, mentorship program",True
conv-26_qa_33,Cannot answer,Cannot answer,True
conv-26_qa_34,Cannot answer,Cannot answer,True
conv-26_qa_35,Cannot answer,Cannot answer,True
conv-26_qa_36,Last weekend,Last weekend,True
conv-26_qa_37,Cannot answer,Cannot answer,True
conv-26_qa_38,"Played games, ate good food, hung out, camping trip, roasted","Played games, ate good food, hung out, camping trip, roasted",False
conv-26_qa_39,"Joining a mentorship program, attending a pride parade, join","Joining a mentorship program, attending a pride parade, join",True
conv-26_qa_4,Cannot answer,Cannot answer,True
conv-26_qa_40,Cannot answer,Cannot answer,True
conv-26_qa_41,last Tues,last Tues,True
conv-26_qa_42,national park,Cannot answer,False
conv-26_qa_43,Cannot answer,Paintings,False
conv-26_qa_44,Cannot answer,Cannot answer,True
conv-26_qa_45,Cannot answer,Cannot answer,True
conv-26_qa_46,Yes,Yes,True
conv-26_qa_47,Cannot answer,Cannot answer,True
conv-26_qa_48,Cannot answer,Cannot answer,True
conv-26_qa_49,Cannot answer,Cannot answer,True
conv-26_qa_5,"25 May, 2023",last Saturday,False
conv-26_qa_50,Cannot answer,Cannot answer,True
conv-26_qa_51,lake sunrise,lake sunrise,True
conv-26_qa_52,Luna and Oliver,"Luna, Oliver, and Bailey",False
conv-26_qa_53,"23 August, 2023","23 August, 2023",True
conv-26_qa_54,last week,Last week.,False
conv-26_qa_55,Cannot answer,Cannot answer,True
conv-26_qa_56,The rainbow flag mural and the eagle.,"Necklace, rainbow flag mural, eagle, painting.",False
conv-26_qa_57,"17 August, 2023","17 August, 2023",True
conv-26_qa_58,Cannot answer,Cannot answer,True
conv-26_qa_59,Cannot answer,Cannot answer,True
conv-26_qa_6,Cannot answer,Cannot answer,True
conv-26_qa_60,clarinet and violin,"clarinet, violin",False
conv-26_qa_61,Cannot answer,Cannot answer,True
