qa_id,category,question,gold_memory_ids,retrieved_memory_ids,hit1,hit5,hit10,rr
conv-26_qa_0,2,When did Caroline go to the LGBTQ support group?,D1:3,D1:3;D1:7;D22:22;D8:6;D14:34;D27:1;D10:5;D5:2;D15:25;D6:14,1,1,1,1.0
conv-26_qa_1,2,When did Melanie paint a sunrise?,D1:12,D22:22;D25:12;D25:17;D1:14;D11:11;D14:3;D10:13;D1:15;D10:14;D13:2,0,0,0,0.0
conv-26_qa_2,3,What fields would Caroline be likely to pursue in her educaton?,D1:11;D1:9,D23:19;D4:14;D13:7;D6:9;D7:8;D4:11;D23:11;D13:18;D12:14;D14:18,0,0,0,0.0
conv-26_qa_3,1,What did Caroline research?,D2:8,D22:22;D24:19;D1:17;D1:15;D8:22;D9:4;D28:7;D3:5;D13:18;D7:19,0,0,0,0.0
conv-26_qa_4,1,What is Caroline's identity?,D1:5,D13:13;D13:18;D12:14;D11:12;D12:14;D14:18;D7:5;D12:20;D6:14;D12:18,0,0,0,0.0
conv-26_qa_5,2,When did Melanie run a charity race?,D2:1,D2:2;D2:1;D22:22;D10:10;D1:17;D3:14;D14:3;D14:22;D29:4;D1:15,0,1,1,0.5
conv-26_qa_6,2,When is Melanie planning on going camping?,D2:7,D14:1;D4:16;D2:7;D30:9;D20:35;D18:11;D24:13;D18:20;D30:10;D12:17,0,1,1,0.3333333333333333
conv-26_qa_7,1,What is Caroline's relationship status?,D2:14;D3:13,D2:6;D2:17;D7:10;D19:5;D13:18;D24:2;D12:14;D14:18;D18:1;D12:20,0,0,0,0.0
conv-26_qa_8,2,When did Caroline give a speech at a school?,D3:1,D22:22;D1:11;D14:18;D1:15;D8:22;D9:4;D17:13;D28:7;D3:5;D13:18,0,0,0,0.0
conv-26_qa_9,2,"When did Caroline meet up with her friends, family, and mentors?",D3:11,D3:11;D16:5;D3:5;D22:22;D28:18;D15:23;D15:28;D24:4;D24:16;D6:11,1,1,1,1.0
conv-26_qa_10,2,How long has Caroline had her current group of friends for?,D3:13,D9:6;D17:15;D19:6;D13:6;D9:3;D15:25;D1:1;D15:15;D2:11;D24:14,0,0,0,0.0
conv-26_qa_11,1,Where did Caroline move from 4 years ago?,D3:13;D4:3,D1:5;D8:13;D3:27;D16:6;D22:22;D15:21;D1:18;D23:18;D5:15;D8:15,0,0,0,0.0
conv-26_qa_12,2,How long ago was Caroline's 18th birthday?,D4:5,D4:5;D24:10;D10:2;D29:9;D11:1;D1:1;D2:11;D17:10;D30:1;D2:24,1,1,1,1.0
conv-26_qa_13,1,What career path has Caroline decided to persue?,D1:11;D4:13,D29:26;D4:8;D10:13;D4:12;D29:8;D11:14;D5:18;D22:16;D27:21;D27:28,0,0,0,0.0
