check_id,layer,status,observed,expected,detail
D01,data,PASS,5882,5882,Canonical memory rows.
D02,data,PASS,5882,5882,memory_id must be unique.
D03,data,PASS,1986,1986,Canonical QA rows.
D04,data,PASS,1986,1986,qa_id must be unique.
G01,gold,PASS,1540,1540,Cat1-4 gold rows.
G02,gold,PASS,1540,1540,Gold query_id must be unique.
G03,gold,PASS,"{""evidence_empty"": 4, ""mapped"": 1536}","{""evidence_empty"": 4, ""mapped"": 1536}",Official evidence-empty questions remain explicit.
G04,gold,PASS,0,0,Every gold memory must exist in the canonical corpus.
G05,gold,PASS,0,0,Every gold memory must belong to the query conversation.
G06,gold,PASS,0,0,gold_count must match the parsed ID list.
R-BM25,retrieval,PASS,1536,1536,"Top-10 integrity: missing=0, bad_ranks=0, duplicates=0, unknown=0, cross_scope=0."
R-Dense-bge,retrieval,PASS,1536,1536,"Top-10 integrity: missing=0, bad_ranks=0, duplicates=0, unknown=0, cross_scope=0."
R-Dense+GlobalKG,retrieval,PASS,1536,1536,"Top-10 integrity: missing=0, bad_ranks=0, duplicates=0, unknown=0, cross_scope=0."
R-RRF_compact,retrieval,PASS,1536,1536,"Top-10 integrity: missing=0, bad_ranks=0, duplicates=0, unknown=0, cross_scope=0."
R-ZScore-Raw,retrieval,PASS,1536,1536,"Top-10 integrity: missing=0, bad_ranks=0, duplicates=0, unknown=0, cross_scope=0."
R-ZScore-RawERK,retrieval,PASS,1536,1536,"Top-10 integrity: missing=0, bad_ranks=0, duplicates=0, unknown=0, cross_scope=0."
R01,retrieval,PASS,12,12,Six methods × test/all rows.
R02,retrieval,PASS,0,0,"All retrieval metrics must lie in [0,1]."
R03,retrieval,PASS,0,0,"Primary test n=1,146; diagnostic all n=1,536."
R04,retrieval,PASS,18,18,"CassMem paired bootstrap vs three baselines across six metrics, with Holm correction."
A01,reader,PASS,12,12,Six methods × two prompt settings.
A02,reader,PASS,0,0,"All answer-level F1 values must lie in [0,1]."
A03,reader,PASS,12,12,Reproducible BLEU/hybrid summary rows.
A04,reader,PASS,0,0,BLEU denominators must be Cat1-4 n=1540 and Full5 n=1986.
A05,reader,PASS,8,8,"Setting-B paired bootstrap vs RRF_compact and ZScore-Raw, Holm-corrected."
A06,reader,PASS,2 x 1986 complete,corrected Dense+GlobalKG reader predictions,"Both settings must pass qid, prompt-hash, ranking-hash, category-distribution, and returned-model checks."
A07,reader,PASS,complete,frozen corrected GPT-4o judge run,HingeMem-compatible binary judge requires corrected Cat5 and a frozen run manifest.
K01,retrieval,WARN,full conversation pool oracle only,pruned KG-expansion candidate recall,Current value is a sanity check and must not be presented as graph-expansion Candidate Recall.
S01,system,BLOCKED,2,0,backend_system_eval update-visibility rows use -1 sentinels and are not citation-ready.
S02,system,BLOCKED,2,0,backend_system_eval recovery rows have failed/sentinel values and are not citation-ready.
S03,system,WARN,10,0,QPS rows omit latency-under-load; report QPS only with this limitation.
S04,system,BLOCKED,missing,end-to-end retrieval serving benchmark,Need backend fetch + graph expansion + scoring + fusion + total latency and QPS at c=1/16/32/64.
S05,system,PASS,36000,36000,"P5-1 v3.1 must have exact manifest counts, fixed 33-candidate work, rank-1 targets, zero failures and cross-backend parity PASS."
S06,system,PASS,present,present,Legacy edge-visible P5-1 is explicitly superseded and cannot be cited for final retrieval visibility.
P01,repository,PASS,0,0,No active source/report file may contain literal API keys or the former example password.
P02,repository,PASS,0,0,.gitignore must be valid UTF-8 text without embedded NULs.
P03,repository,WARN,96,0,Hard-coded absolute paths reduce portability; see hardcoded_path_audit.csv.
P04,repository,PASS,0,0,"All P5-3C event, scale-guard, and validated-manifest paths must resolve."
