graph_id,src_id,src_type,relation,dst_id,dst_type,confidence,source,evidence
conv-26,caroline,person,attend,an_lgbtq_support_group,entity,1.0,locomo_observation_spacy,D1:3
conv-26,caroline,person,accept,accept,entity,1.0,locomo_observation_spacy,D1:7
conv-26,caroline,person,plan,plan,entity,1.0,locomo_observation_spacy,D1:9
conv-26,melanie,person,manage,kids_and_work,entity,1.0,locomo_observation_spacy,D1:2
conv-26,melanie,person,paint,a_lake_sunrise,entity,1.0,locomo_observation_spacy,D1:14
conv-26,melanie,person,express,her_feelings,entity,1.0,locomo_observation_spacy,D1:16
conv-26,melanie,person,go,go,entity,1.0,locomo_observation_spacy,D1:18
conv-26,melanie,person,run,a_charity_race_for_mental_health,entity,1.0,locomo_observation_spacy,D2:1
conv-26,melanie,person,realize,the_importance_of_self_care_and,entity,1.0,locomo_observation_spacy,D2:3
conv-26,melanie,person,carve,me,entity,1.0,locomo_observation_spacy,D2:5
conv-26,melanie,person,consider,consider,entity,1.0,locomo_observation_spacy,D2:7
conv-26,caroline,person,research,adoption_agencies,entity,1.0,locomo_observation_spacy,D2:8
conv-26,caroline,person,choose,an_adoption_agency_that_helps_lgbtq,entity,1.0,locomo_observation_spacy,D2:12
conv-26,caroline,person,create,a_family_for_kids_who_need,entity,1.0,locomo_observation_spacy,D2:14
conv-26,caroline,person,start,start,entity,1.0,locomo_observation_spacy,D3:1
conv-26,caroline,person,give,a_talk,entity,1.0,locomo_observation_spacy,D3:1
conv-26,caroline,person,give,a_voice,entity,1.0,locomo_observation_spacy,D3:3
conv-26,caroline,person,share,experiences,entity,1.0,locomo_observation_spacy,D3:5
conv-26,caroline,person,bless,with_a_lot_of_love_and,entity,1.0,locomo_observation_spacy,D3:5
conv-26,caroline,person,aim,aim,entity,1.0,locomo_observation_spacy,D3:5
conv-26,caroline,person,motivate,her,entity,1.0,locomo_observation_spacy,D3:11
conv-26,caroline,person,move,from_her_home_country,entity,1.0,locomo_observation_spacy,D3:13
conv-26,melanie,person,spread,awareness,entity,1.0,locomo_observation_spacy,D3:2
conv-26,melanie,person,talk,about_inclusivity_and_acceptance,entity,1.0,locomo_observation_spacy,D3:4
conv-26,melanie,person,value,family_moments,entity,1.0,locomo_observation_spacy,D3:20
conv-26,melanie,person,have,a_husband_and_kids_who_keep,entity,1.0,locomo_observation_spacy,D3:14
conv-26,melanie,person,marry,for_5_years,entity,1.0,locomo_observation_spacy,D3:16
conv-26,melanie,person,cherish,time,entity,1.0,locomo_observation_spacy,D3:22
conv-26,caroline,person,receive,a_special_necklace,entity,1.0,locomo_observation_spacy,D4:3
conv-26,caroline,person,treasure,a_hand_painted_bowl_made_by,entity,1.0,locomo_observation_spacy,D4:5
conv-26,caroline,person,consider,a_career_in_counseling_and_mental,entity,1.0,locomo_observation_spacy,D4:11
conv-26,caroline,person,attend,an_lgbtq_counseling_workshop_focused_on,entity,1.0,locomo_observation_spacy,D4:13
conv-26,caroline,person,pursue,counseling,entity,1.0,locomo_observation_spacy,D4:15
conv-26,melanie,person,go,last_week,entity,1.0,locomo_observation_spacy,D4:8
conv-26,melanie,person,value,family_time,entity,1.0,locomo_observation_spacy,D4:10
conv-26,caroline,person,attend,an_lgbtq_pride_parade,entity,1.0,locomo_observation_spacy,D5:1
conv-26,caroline,person,consider,a_career_in_counseling_and_mental,entity,1.0,locomo_observation_spacy,D5:3
conv-26,caroline,person,learn,the_piano,entity,1.0,locomo_observation_spacy,D5:5
conv-26,caroline,person,attend,a_transgender_conference,entity,1.0,locomo_observation_spacy,D5:13
conv-26,melanie,person,sign,for_a_pottery_class,entity,1.0,locomo_observation_spacy,D5:4
conv-26,melanie,person,calm,calm,entity,1.0,locomo_observation_spacy,D5:6
conv-26,melanie,person,make,a_black_and_white_bowl,entity,1.0,locomo_observation_spacy,D5:8
conv-26,melanie,person,express,her_emotions,entity,1.0,locomo_observation_spacy,D5:10
conv-26,caroline,person,look,into_counseling_or_mental_health_work,entity,1.0,locomo_observation_spacy,D6:3
conv-26,caroline,person,create,a_library,entity,1.0,locomo_observation_spacy,D6:7
conv-26,caroline,person,include,classics,entity,1.0,locomo_observation_spacy,D6:9
conv-26,caroline,person,appreciate,the_importance_of_friendship_and_compassion,entity,1.0,locomo_observation_spacy,D6:11
conv-26,caroline,person,provide,love_guidance_and_acceptance,entity,1.0,locomo_observation_spacy,D6:13
conv-26,melanie,person,take,her_kids,entity,1.0,locomo_observation_spacy,D6:4
conv-26,melanie,person,spend,time,entity,1.0,locomo_observation_spacy,D6:4
conv-26,melanie,person,enjoy,camping,entity,1.0,locomo_observation_spacy,D6:16
conv-26,caroline,person,attend,an_lgbtq_conference,entity,1.0,locomo_observation_spacy,D7:1
conv-26,caroline,person,provide,support,entity,1.0,locomo_observation_spacy,D7:5
conv-26,caroline,person,give,her_hope_and_connection,entity,1.0,locomo_observation_spacy,D7:11
conv-26,caroline,person,accord,accord,entity,1.0,locomo_observation_spacy,D7:13
conv-26,caroline,person,value,the_role_of_pets_in_bringing,entity,1.0,locomo_observation_spacy,D7:13
conv-26,melanie,person,attend,to_be_reminding_of_the_strength,entity,1.0,locomo_observation_spacy,D7:2
conv-26,melanie,person,support,caroline_s_drive,entity,1.0,locomo_observation_spacy,D7:4
conv-26,melanie,person,remind,caroline,entity,1.0,locomo_observation_spacy,D7:8
conv-26,melanie,person,name,luna_and_a_cat_named_oliver,entity,1.0,locomo_observation_spacy,D7:18
conv-26,melanie,person,destress,destress,entity,1.0,locomo_observation_spacy,D7:20
conv-26,melanie,person,run,run,entity,1.0,locomo_observation_spacy,D7:24
conv-26,caroline,person,attend,a_council_meeting_for_adoption,entity,1.0,locomo_observation_spacy,D8:9
conv-26,caroline,person,go,to_a_pride_parade,entity,1.0,locomo_observation_spacy,D8:19
conv-26,caroline,person,accept,accept,entity,1.0,locomo_observation_spacy,D8:21
conv-26,caroline,person,express,feeling_comforted_by_being_around_accepting,entity,1.0,locomo_observation_spacy,D8:21
conv-26,caroline,person,mention,the_importance_of_finding_peace_and,entity,1.0,locomo_observation_spacy,D8:25
conv-26,caroline,person,express,pride_in_the_courage_to_transition,entity,1.0,locomo_observation_spacy,D8:25
conv-26,melanie,person,take,her_kids,entity,1.0,locomo_observation_spacy,D8:2
conv-26,melanie,person,enjoy,nature_inspired_painting_projects,entity,1.0,locomo_observation_spacy,D8:6
conv-26,melanie,person,marry,her_partner,entity,1.0,locomo_observation_spacy,D8:16
conv-26,melanie,person,represent,growth_beauty_and_appreciating_small_moments,entity,1.0,locomo_observation_spacy,D8:12
conv-26,melanie,person,share,share,entity,1.0,locomo_observation_spacy,D8:28
conv-26,melanie,person,love,during_tough_times,entity,1.0,locomo_observation_spacy,D8:32
conv-26,melanie,person,go,go,entity,1.0,locomo_observation_spacy,D9:1
conv-26,melanie,person,enjoy,enjoy,entity,1.0,locomo_observation_spacy,D9:1
conv-26,melanie,person,finish,a_painting,entity,1.0,locomo_observation_spacy,D9:17
conv-26,caroline,person,join,a_mentorship_program_for_lgbtq_youth,entity,1.0,locomo_observation_spacy,D9:2
conv-26,caroline,person,work,work,entity,1.0,locomo_observation_spacy,D9:6
conv-26,caroline,person,have,a_great_time,entity,1.0,locomo_observation_spacy,D9:6
