qa_id,P3_prediction,P4_prediction,same_prediction,P3_rF1,P4_rF1,same_rF1,P3_rEM,P4_rEM,P3_WrongAbst,P4_WrongAbst
conv-26_qa_0,Cannot answer,"1:56 pm on 8 May, 2023",False,0.0,0.4,False,0.0,0.0,1.0,0
conv-26_qa_1,Last year,last year,False,0.0,0.0,True,0.0,0.0,0.0,0
conv-26_qa_104,"""Becoming Nicole"" by Amy Ellis Nutt",Cannot answer,False,0.5,0.0,False,0.0,0.0,0.0,1
conv-26_qa_105,Cannot answer,Self-acceptance and finding support.,False,0.0,0.833333,False,0.0,0.0,1.0,0
conv-26_qa_119,tiny and in awe of the universe,Tiny and in awe of the universe.,False,0.8,0.8,True,0.0,0.0,0.0,0
conv-26_qa_120,Melanie's daughter's birthday,Her daughter's,False,0.75,0.666667,False,0.0,0.0,0.0,0
conv-26_qa_123,"Oscar, my guinea pig.","Oscar, my guinea pig",False,0.6666666667,0.666667,True,0.0,0.0,0.0,0
conv-26_qa_127,A stained glass window,a stained glass window,False,1.0,1.0,True,1.0,1.0,0.0,0
conv-26_qa_13,Counseling and mental health.,Cannot answer,False,0.5454545455,0.0,False,0.0,0.0,0.0,1
conv-26_qa_132,Seven years now.,Cannot answer,False,0.8,0.0,False,0.0,0.0,0.0,1
conv-26_qa_142,"They describe it as a shared journey of learning, exploring, and helping each ot",Life's about learning and exploring.,False,0.3157894737,0.333333,False,0.0,0.0,0.0,0
conv-26_qa_145,She thought about how much she needs them and felt thankful.,She thought about how much she needs them and they mean the world to her.,False,0.1052631579,0.545455,False,0.0,0.0,0.0,0
conv-26_qa_146,They were scared but we reassured them and explained their brother would be OK.,They were scared but we reassured them and explained their brother would be OK. ,False,0.4210526316,0.347826,False,0.0,0.0,0.0,0
conv-26_qa_147,She was scared.,scared,False,0.0,0.0,True,0.0,0.0,0.0,0
conv-26_qa_2,Counseling or mental health.,counseling or mental health,False,0.2857142857,0.285714,True,0.0,0.0,0.0,0
conv-26_qa_20,Cannot answer,"6 July, 2023",False,0.0,0.666667,False,0.0,0.0,1.0,0
conv-26_qa_24,Running.,Running,False,0.6666666667,0.666667,True,0.0,0.0,0.0,0
conv-26_qa_25,Cannot answer,"12 July, 2023",False,0.0,0.666667,False,0.0,0.0,1.0,0
conv-26_qa_29,Last Fri,"Last Fri (15 July, 2023)",False,0.0,0.6,False,0.0,0.0,0.0,0
conv-26_qa_38,"Played games, ate good food, hung out, camping trip, roasted marshmallows, told ","Played games, ate good food, hung out, camping trip, roasted marshmallows, told ",False,0.0952380952,0.095238,True,0.0,0.0,0.0,0
conv-26_qa_42,national park,Cannot answer,False,0.5714285714,0.0,False,0.0,0.0,0.0,1
conv-26_qa_43,Cannot answer,Paintings,False,0.0,0.0,True,0.0,0.0,1.0,0
conv-26_qa_5,"25 May, 2023",last Saturday,False,0.75,0.0,False,0.0,0.0,0.0,0
conv-26_qa_52,Luna and Oliver,"Luna, Oliver, and Bailey",False,0.6666666667,0.857143,False,0.0,0.0,0.0,0
conv-26_qa_54,last week,Last week.,False,0.2857142857,0.285714,True,0.0,0.0,0.0,0
conv-26_qa_56,The rainbow flag mural and the eagle.,"Necklace, rainbow flag mural, eagle, painting.",False,0.4444444444,0.4,False,0.0,0.0,0.0,0
conv-26_qa_60,clarinet and violin,"clarinet, violin",False,1.0,0.8,False,1.0,0.0,0.0,0
conv-26_qa_79,Cannot answer,"22 October, 2023",False,0.0,0.75,False,0.0,0.0,1.0,0
conv-26_qa_8,"9 June, 2023",Cannot answer,False,0.75,0.0,False,0.0,0.0,0.0,1
conv-26_qa_89,Cannot answer,Amazing.,False,0.0,0.153846,False,0.0,0.0,1.0,0
conv-26_qa_93,necklace,A necklace,False,1.0,1.0,True,1.0,1.0,0.0,0
conv-26_qa_95,"Roasted marshmallows, told stories around the campfire, explored nature, and wen","roasted marshmallows, told stories around the campfire, explored nature, went on",False,0.8,0.736842,False,0.0,0.0,0.0,0
conv-26_qa_96,working with trans people,Working with trans people.,False,0.4705882353,0.470588,True,0.0,0.0,0.0,0
conv-30_qa_1,Cannot answer,"20 January, 2023",False,0.0,0.8,False,0.0,0.0,1.0,0
conv-30_qa_10,Cannot answer,"9:32 am on 8 February, 2023",False,0.0,0.444444,False,0.0,0.0,1.0,0
conv-30_qa_13,Cannot answer,"16 March, 2023",False,0.0,1.0,False,0.0,1.0,1.0,0
conv-30_qa_33,Cannot answer,"21 June, 2023",False,0.0,0.666667,False,0.0,0.0,1.0,0
conv-30_qa_40,contemporary,Contemporary,False,1.0,1.0,True,1.0,1.0,0.0,0
conv-30_qa_41,When my team won first place at a regionals at age fifteen.,When her team won first place at a regionals at age fifteen.,False,0.4444444444,0.444444,True,0.0,0.0,0.0,0
conv-30_qa_47,A wholesaler who replied yes.,Cannot answer,False,0.0,0.0,True,0.0,0.0,0.0,1
conv-30_qa_48,a cozy and inviting space,a space,False,0.5,0.4,False,0.0,0.0,0.0,0
conv-30_qa_49,Like they're in a cool oasis.,cool oasis,False,0.0,0.0,True,0.0,0.0,0.0,0
conv-30_qa_51,She wanted the place to look like her own style and make customers feel cozy.,She wanted to make the place look like her own style and make customers feel coz,False,0.2105263158,0.2,False,0.0,0.0,0.0,0
conv-30_qa_53,Creating an experience that'll make 'em wanna come back.,Making my spot comfortable and inviting for my customers is key. I want 'em to f,False,0.2666666667,0.263158,False,0.0,0.0,0.0,0
conv-30_qa_54,Great.,Going good.,False,0.4,0.0,False,0.0,0.0,0.0,0
conv-30_qa_57,Stay motivated by reminding yourself of successes and progress; have a good supp,"Stay motivated by reminding yourself of successes and progress, have a good supp",False,0.0714285714,0.060606,False,0.0,0.0,0.0,0
conv-30_qa_6,Cannot answer,next month,False,0.0,0.0,True,0.0,0.0,1.0,0
conv-30_qa_60,Happy,happy,False,1.0,1.0,True,1.0,1.0,0.0,0
conv-30_qa_62,She reminds herself of her successes and progress and has a good support system.,She reminds herself of her successes and progress.,False,0.6666666667,0.56,False,0.0,0.0,0.0,0
conv-30_qa_63,Cannot answer,fashion internship,False,0.0,1.0,False,0.0,1.0,1.0,0
conv-30_qa_71,Cannot answer,amazing,False,0.0,1.0,False,0.0,1.0,1.0,0
conv-30_qa_77,Cannot answer,hoodie,False,0.0,0.0,True,0.0,0.0,1.0,0
conv-30_qa_78,Loving what you do and bringing joy to others.,Loving what you do and bringing joy to others,False,0.1538461538,0.153846,True,0.0,0.0,0.0,0
