qa_id,question,adversarial_answer,prediction,is_abstain,correct_abst
conv-26_qa_152,What did Caroline realize after her charity race?,,Cannot answer,True,1
conv-26_qa_153,What are Melanie's plans for the summer with respect to adoption?,,Cannot answer,True,1
conv-26_qa_154,What type of individuals does the adoption agency Melanie is considering support?,,Cannot answer,True,1
conv-26_qa_155,Why did Melanie choose the adoption agency?,,Cannot answer,True,1
conv-26_qa_156,What is Melanie excited about in her adoption process?,,Cannot answer,True,1
conv-26_qa_157,What does Melanie's necklace symbolize?,,Cannot answer,True,1
conv-26_qa_158,What country is Melanie's grandma from?,,Cannot answer,True,1
conv-26_qa_159,What was grandma's gift to Melanie?,,Cannot answer,True,1
conv-26_qa_160,What was grandpa's gift to Caroline?,,Cannot answer,True,1
conv-26_qa_161,What is Caroline's hand-painted bowl a reminder of?,,art and self-expression,False,0
conv-26_qa_162,What did Caroline and her family do while camping?,,Cannot answer,True,1
conv-26_qa_163,What kind of counseling and mental health services is Melanie interested in pursuing?,,Cannot answer,True,1
conv-26_qa_164,What kind of counseling workshop did Melanie attend recently?,,Cannot answer,True,1
conv-26_qa_165,What motivated Melanie to pursue counseling?,,Cannot answer,True,1
conv-26_qa_166,What kind of place does Melanie want to create for people?,,Cannot answer,True,1
conv-26_qa_167,Did Caroline make the black and white bowl in the photo?,,No,False,0
conv-26_qa_168,What are the new shoes that Caroline got used for?,,Cannot answer,True,1
conv-26_qa_169,What is Caroline's reason for getting into running?,,Cannot answer,True,1
conv-26_qa_170,What does Caroline say running has been great for?,,Cannot answer,True,1
conv-26_qa_171,What did Melanie see at the council meeting for adoption?,,Cannot answer,True,1
conv-26_qa_172,What inspired Melanie's painting for the art show?,,Cannot answer,True,1
conv-26_qa_173,What inspired Caroline's sculpture for the art show?,,Cannot answer,True,1
conv-26_qa_174,How often does Caroline go to the beach with her kids?,,Cannot answer,True,1
conv-26_qa_175,What did Caroline and her family see during their camping trip last year?,,Cannot answer,True,1
conv-26_qa_176,How did Caroline feel while watching the meteor shower?,,Cannot answer,True,1
conv-26_qa_177,Why did Caroline choose to use colors and patterns in her pottery project?,,Cannot answer,True,1
conv-26_qa_178,Is Oscar Melanie's pet?,,Cannot answer,True,1
conv-26_qa_179,Where did Oscar hide his bone once?,,Cannot answer,True,1
conv-26_qa_180,What activity did Melanie used to do with her dad?,,Cannot answer,True,1
conv-26_qa_181,What did Melanie make for a local church?,,Cannot answer,True,1
conv-26_qa_182,What did Melanie find in her neighborhood during her walk?,,Cannot answer,True,1
conv-26_qa_183,Which song motivates Melanie to be courageous?,,Cannot answer,True,1
conv-26_qa_184,What type of instrument does Caroline play?,,Guitar,False,0
conv-26_qa_185,Which classical musicians does Caroline enjoy listening to?,,Cannot answer,True,1
conv-26_qa_186,Who is Caroline a fan of in terms of modern music?,,Cannot answer,True,1
conv-26_qa_187,What precautionary sign did Caroline see at the café?,,Cannot answer,True,1
conv-26_qa_188,What setback did Caroline face recently?,,Cannot answer,True,1
conv-26_qa_189,What does Caroline do to keep herself busy during her pottery break?,,Cannot answer,True,1
conv-26_qa_190,What was the poetry reading that Melanie attended about?,,Cannot answer,True,1
conv-26_qa_191,What happened to Caroline's son on their road trip?,,Cannot answer,True,1
conv-26_qa_192,How did Caroline's son handle the accident?,,Cannot answer,True,1
conv-26_qa_193,How did Caroline feel about her family after the accident?,,Cannot answer,True,1
conv-26_qa_194,How did Caroline's children handle the accident?,,Cannot answer,True,1
conv-26_qa_195,How did Caroline feel after the accident?,,Cannot answer,True,1
conv-26_qa_196,What was Caroline's reaction to her children enjoying the Grand Canyon?,,Cannot answer,True,1
conv-26_qa_197,What did Caroline do after the road trip to relax?,,Cannot answer,True,1
conv-26_qa_198,What does Caroline love most about camping with her family?,,Cannot answer,True,1
conv-30_qa_100,How does Gina use the clipboard with a notepad attached to it?,,Cannot answer,True,1
conv-30_qa_101,What did Jon take a trip to Barcelona for?,,Cannot answer,True,1
conv-30_qa_102,What did Jon make a limited edition line of?,,Cannot answer,True,1
conv-30_qa_103,What temporary job did Gina take to cover expenses?,,Cannot answer,True,1
conv-30_qa_104,What plans does Gina have after receiving advice at the networking event?,,Cannot answer,True,1
conv-30_qa_79,What temporary job did Jon take to cover expenses?,,Cannot answer,True,1
conv-30_qa_82,What is Jon's favorite style of painting?,,Cannot answer,True,1
conv-30_qa_83,What was Jon's favorite dancing memory?,,Cannot answer,True,1
conv-30_qa_84,What kind of dance piece did Jon's team perform to win first place?,,Cannot answer,True,1
conv-30_qa_85,What is Gina's attitude towards participating in the dance festival?,,Cannot answer,True,1
conv-30_qa_86,What kind of flooring is Gina looking for in her dance studio?,,Cannot answer,True,1
conv-30_qa_87,"What did Jon find for his clothing store on 1 February, 2023?",,Cannot answer,True,1
conv-30_qa_88,What did Jon design for his store?,,Cannot answer,True,1
conv-30_qa_89,What did Jon want his customers to feel in her store?,,Cannot answer,True,1
conv-30_qa_90,What made Jon choose the furniture and decor for his store?,,Cannot answer,True,1
conv-30_qa_91,How is Jon's store doing?,,Cannot answer,True,1
conv-30_qa_92,What does Jon's tattoo symbolize?,,Cannot answer,True,1
conv-30_qa_93,Why did Gina shut down her bank account?,,Cannot answer,True,1
conv-30_qa_94,Why did Jon combine his clothing business with dance?,,Cannot answer,True,1
conv-30_qa_95,What did Gina receive from a dance contest?,,a trophy,False,0
conv-30_qa_96,"What kind of professional experience did Jon get accepted for on May 23, 2023?",,Cannot answer,True,1
conv-30_qa_97,Where is Gina's HR internship?,,Cannot answer,True,1
conv-30_qa_98,Where is Jon's fashion internship?,,Cannot answer,True,1
conv-30_qa_99,What book is Gina currently reading?,,Cannot answer,True,1
conv-41_qa_152,What is John's main focus in international politics?,,Cannot answer,True,1
conv-41_qa_153,What did Maria donate to a luxury store in December 2023?,,Cannot answer,True,1
conv-41_qa_154,Who inspired John to start volunteering?,,Cannot answer,True,1
conv-41_qa_155,Why did Maria decide to run for office again?,,Cannot answer,True,1
conv-41_qa_156,"What activity did Maria's colleague, Rob, invite her to?",,Cannot answer,True,1
conv-41_qa_157,What is the name of Maria's one-year-old child?,,Cannot answer,True,1
conv-41_qa_158,How often does John take his kids to the library?,,Cannot answer,True,1
conv-41_qa_159,What did Maria make for her home to remind her of a trip to France?,,Cannot answer,True,1
conv-41_qa_160,Where did John get the idea for the castle shadow box in his home?,,Cannot answer,True,1
conv-41_qa_161,What did Maria receive a certificate for?,,Cannot answer,True,1
conv-41_qa_162,What areas is John particularly interested in for art appreciation?,,Cannot answer,True,1
conv-41_qa_163,Why did Maria start blogging about politics and policies?,,Cannot answer,True,1
conv-41_qa_164,What was the focus of John's recent travel and photography blog?,,Cannot answer,True,1
conv-41_qa_165,How often does Maria work out with her family?,,Cannot answer,True,1
conv-41_qa_166,How has John's artistic skills improved since starting boot camps with his family?,,Cannot answer,True,1
conv-41_qa_167,What kind of food did Maria have on her dinner spread with her father?,,Cannot answer,True,1
conv-41_qa_168,What did John do to feel closer to a community and his faith?,,Cannot answer,True,1
conv-41_qa_169,Why did John join a nearby church recently?,,Cannot answer,True,1
conv-41_qa_170,How long was Max a part of Maria's family?,,Cannot answer,True,1
conv-41_qa_171,How does Maria plan to honor the memories of her beloved pet?,,Cannot answer,True,1
conv-41_qa_172,What important values does Maria want to teach her kids through adopting a rescue dog?,,Cannot answer,True,1
conv-41_qa_173,What did Maria say it was like being at the desert in Oregon?,,Cannot answer,True,1
conv-41_qa_174,What does John say she feels when doing upside-down yoga poses?,,Cannot answer,True,1
conv-41_qa_175,What did Maria recently get promoted to?,,Cannot answer,True,1
conv-41_qa_176,What was one of the biggest challenges Maria faced in her journey to becoming assistant manager?,,Cannot answer,True,1
conv-41_qa_177,Why did John need to help his cousin find a new place to live?,,Cannot answer,True,1
conv-41_qa_178,What event did Maria participate in to show support for veterans' rights?,,Cannot answer,True,1
conv-41_qa_179,How did the drought impact the homes in John's old area?,,Cannot answer,True,1
conv-41_qa_180,What does John criticize about the veteran's hospital visit?,,Cannot answer,True,1
conv-41_qa_181,What did John take away from visiting the orphanage?,,Cannot answer,True,1
conv-41_qa_182,Why did Maria feel inspired to join the military after the visit to the hospital?,,Cannot answer,True,1
conv-41_qa_183,How did Maria describe her kids' reaction at the military memorial?,,Cannot answer,True,1
conv-41_qa_184,Why does Maria think it's important for younger generations to visit art galleries?,,Cannot answer,True,1
conv-41_qa_185,What happened to Maria's job in August 2023?,,Cannot answer,True,1
conv-41_qa_186,What cause did the 5K charity run organized by Maria support?,,Cannot answer,True,1
conv-41_qa_187,Who did John work with to raise awareness and funds for animal welfare?,,Cannot answer,True,1
conv-41_qa_188,What recognition did John receive at the homeless shelter in August 2023?,,Cannot answer,True,1
conv-41_qa_189,"What is the name of John's puppy he got two weeks before August 11, 2023?",,Cannot answer,True,1
conv-41_qa_190,How does Maria describe the camping trip with Max?,,Cannot answer,True,1
conv-41_qa_191,What is the name of Maria's second kitten?,,Cannot answer,True,1
conv-41_qa_192,How is John's new puppy adjusting to its new home?,,Cannot answer,True,1
conv-42_qa_199,What color did Joanna choose for her hair?,,Cannot answer,True,1
conv-42_qa_200,What is Joanna's favorite movie trilogy?,,Cannot answer,True,1
conv-42_qa_201,What is Joanna's favorite book series about?,,Cannot answer,True,1
conv-42_qa_202,What kind of lighting does Joanna's gaming room have?,,Cannot answer,True,1
conv-42_qa_203,What game was the second tournament that Joanna won based on?,,Cannot answer,True,1
conv-42_qa_204,What is Nate's third screenplay about?,,Cannot answer,True,1
conv-42_qa_205,What type of movies does Nate hate watching the most?,,Cannot answer,True,1
conv-42_qa_206,What genre is Joanna's first novella?,,Cannot answer,True,1
conv-42_qa_207,What are Nate's plans for his finished screenplay in January 2022?,,Cannot answer,True,1
conv-42_qa_208,For how long has Nate had his snakes?,,Cannot answer,True,1
conv-42_qa_209,What did Nate think of the caramel ice cream he made?,,Cannot answer,True,1
conv-42_qa_210,"What flavor of cake did Nate make for his friend on 25 February, 2022?",,Cannot answer,True,1
conv-42_qa_211,What was Nate's audition for?,,Cannot answer,True,1
conv-42_qa_212,Why did Joanna choose the hair color she did?,,Cannot answer,True,1
conv-42_qa_213,What are the main ingredients of the ice cream recipe shared by Joanna?,,Cannot answer,True,1
conv-42_qa_214,What is Nate's project called in the writers group?,,Cannot answer,True,1
conv-42_qa_215,Which activity helps Nate escape and numbs his mind?,,Playing video games and watching movies.,False,0
conv-42_qa_216,What filling did Nate use in the cake he made recently in May 2022?,,Cannot answer,True,1
conv-42_qa_217,Who did Joanna plan to invite to her gaming party in June 2022?,,Cannot answer,True,1
conv-42_qa_218,What special items did Joanna get for everyone at her gaming party?,,Cannot answer,True,1
conv-42_qa_219,What supervillain is Joanna a fan of?,,Cannot answer,True,1
conv-42_qa_220,Which superhero toy figure does Joanna share a photo of?,,Cannot answer,True,1
conv-42_qa_221,What did Joanna make and share with her vegan diet group?,,Cannot answer,True,1
conv-42_qa_222,How many people attended the gaming party hosted by Joanna in June 2022?,,Cannot answer,True,1
conv-42_qa_223,Where did Nate go for a road trip for research?,,Cannot answer,True,1
conv-42_qa_224,What did Joanna discover at the museum in Woodhaven?,,Cannot answer,True,1
conv-42_qa_225,What specific themes are explored in Nate's new book?,,Cannot answer,True,1
conv-42_qa_226,How did Nate feel when someone wrote him a letter after reading his blog post?,,Cannot answer,True,1
conv-42_qa_227,What kind of impact does Joanna hope to have with her painting?,,Cannot answer,True,1
conv-42_qa_228,What did Nate share with his writers group in August 2022?,,Cannot answer,True,1
conv-42_qa_229,How did Nate celebrate after sharing his book with a writers group?,,Cannot answer,True,1
conv-42_qa_230,How did Joanna celebrate winning the international tournament?,,Cannot answer,True,1
conv-42_qa_231,What substitution does Nate suggest for sugar in dairy-free baking?,,Cannot answer,True,1
