memory_id,conversation_id,representation,token_count
conv-26_session_1_D1:1,conv-26,,0
conv-26_session_1_D1:2,conv-26,"Triples:
- (melanie, manage, kids_and_work)",4
conv-26_session_1_D1:3,conv-26,"Triples:
- (caroline, attend, an_lgbtq_support_group)",4
conv-26_session_1_D1:4,conv-26,,0
conv-26_session_1_D1:5,conv-26,,0
conv-26_session_1_D1:6,conv-26,,0
conv-26_session_1_D1:7,conv-26,"Triples:
- (caroline, accept, accept)",4
conv-26_session_1_D1:8,conv-26,,0
conv-26_session_1_D1:9,conv-26,"Triples:
- (caroline, plan, plan)",4
conv-26_session_1_D1:10,conv-26,,0
conv-26_session_1_D1:11,conv-26,,0
conv-26_session_1_D1:12,conv-26,,0
conv-26_session_1_D1:13,conv-26,,0
conv-26_session_1_D1:14,conv-26,"Triples:
- (melanie, paint, a_lake_sunrise)",4
conv-26_session_1_D1:15,conv-26,,0
conv-26_session_1_D1:16,conv-26,"Triples:
- (melanie, express, her_feelings)",4
conv-26_session_1_D1:17,conv-26,,0
conv-26_session_1_D1:18,conv-26,"Triples:
- (melanie, go, go)",4
conv-26_session_10_D10:1,conv-26,,0
conv-26_session_10_D10:2,conv-26,,0
conv-26_session_10_D10:3,conv-26,"Triples:
- (caroline, join, a_new_lgbtq_activist_group_called_'_connected)",5
conv-26_session_10_D10:4,conv-26,,0
conv-26_session_10_D10:5,conv-26,"Triples:
- (caroline, support, each_other_and_positive_changes)",4
conv-26_session_10_D10:6,conv-26,,0
conv-26_session_10_D10:7,conv-26,"Triples:
- (caroline, participate, in_a_pride_parade)",4
conv-26_session_10_D10:8,conv-26,"Triples:
- (melanie, enjoy, family_beach_trips_with_her_kids)",4
conv-26_session_10_D10:9,conv-26,,0
conv-26_session_10_D10:10,conv-26,,0
conv-26_session_10_D10:11,conv-26,,0
conv-26_session_10_D10:12,conv-26,"Triples:
- (melanie, include, a_camping_trip_where_they_roast_marshmallows_and)",4
conv-26_session_10_D10:13,conv-26,,0
conv-26_session_10_D10:14,conv-26,"Triples:
- (melanie, watch, the_perseid_meteor_shower)",4
conv-26_session_10_D10:15,conv-26,,0
conv-26_session_10_D10:16,conv-26,,0
conv-26_session_10_D10:17,conv-26,,0
conv-26_session_10_D10:18,conv-26,,0
conv-26_session_10_D10:19,conv-26,,0
conv-26_session_10_D10:20,conv-26,"Triples:
- (melanie, treasure, the_memory_of_her_youngest_child_taking_her)",4
conv-26_session_10_D10:21,conv-26,,0
