method,qa_id,category,question,gold_answer,prediction,official_score,rF1_cat14,rEM_cat14_project,official_cat5_score,broad_abstention,WrongAbstention_cat14_project
ZScore-RawERK,conv-26_qa_0,2,When did Caroline go to the LGBTQ support group?,7 May 2023,"Yesterday, 8 May, 2023.",0.5714285714285715,0.5714285714285715,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_1,2,When did Melanie paint a sunrise?,2022,Last year,0.0,0.0,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_10,2,How long has Caroline had her current group of friends for?,4 years,4 years,1.0,1.0,1.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_100,4,What kind of place does Caroline want to create for people?,a safe and inviting place for people to grow,A safe and loving home.,0.2,0.2,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_101,4,Did Melanie make the black and white bowl in the photo?,Yes,"Yeah, I made this bowl in my class.",0.0,0.0,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_102,4,What kind of books does Caroline have in her library?,"kids' books - classics, stories from different cultures, educational books","Lots of kids' books- classics, stories from different cultures, educational books.",0.9,0.9,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_103,4,What was Melanie's favorite book from her childhood?,"""Charlotte's Web""","""Charlotte's Web""",1.0,1.0,1.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_104,4,What book did Caroline recommend to Melanie?,"""Becoming Nicole""","""Becoming Nicole"" by Amy Ellis Nutt",0.5,0.5,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_105,4,"What did Caroline take away from the book ""Becoming Nicole""?",Lessons on self-acceptance and finding support,It made me feel connected and gave me a lot of hope for my own path.,0.0,0.0,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_106,4,What are the new shoes that Melanie got used for?,Running,For running.,0.6666666666666666,0.6666666666666666,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_107,4,What is Melanie's reason for getting into running?,To de-stress and clear her mind,To de-stress.,0.5714285714285715,0.5714285714285715,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_108,4,What does Melanie say running has been great for?,Her mental health,My headspace.,0.0,0.0,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_109,4,What did Mel and her kids make during the pottery workshop?,pots,Their own pots.,0.5,0.5,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_11,1,Where did Caroline move from 4 years ago?,Sweden,Her home country.,0.0,0.0,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_110,4,What kind of pot did Mel and her kids make with clay?,a cup with a dog face on it,Their own pots.,0.0,0.0,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_111,4,What creative project do Mel and her kids do together besides pottery?,painting,The context does not provide information about any other creative projects Melanie and her kids do together besides pottery.,0.0,0.0,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_112,4,What did Mel and her kids paint in their latest project in July 2023?,a sunset with a palm tree,Nature-inspired ones.,0.0,0.0,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_113,4,What did Caroline see at the council meeting for adoption?,many people wanting to create loving homes for children in need,So many people wanted to create loving homes for children in need.,0.9565217391304348,0.9565217391304348,0.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_114,4,What do sunflowers represent according to Caroline?,warmth and happiness,Warmth and happiness,1.0,1.0,1.0,,0.0,0.0
ZScore-RawERK,conv-26_qa_115,4,Why are flowers important to Melanie?,They remind her to appreciate the small moments and were a part of her wedding decor,They remind her of her wedding day.,0.6,0.6,0.0,,0.0,0.0
