memory_id,conversation_id,representation,token_count
conv-26_session_1_D1:1,conv-26,"Hey Mel! Good to see you! How have you been?
Summary: nan",12
conv-26_session_1_D1:2,conv-26,"Hey Caroline! Good to see you! I'm swamped with the kids & work. What's up with you? Anything new?
Summary: nan",22
conv-26_session_1_D1:3,conv-26,"I went to a LGBTQ support group yesterday and it was so powerful.
Summary: nan",15
conv-26_session_1_D1:4,conv-26,"Wow, that's cool, Caroline! What happened that was so awesome? Did you hear any inspiring stories?
Summary: nan",19
conv-26_session_1_D1:5,conv-26,"The transgender stories were so inspiring! I was so happy and thankful for all the support.
Summary: nan",18
conv-26_session_1_D1:6,conv-26,"Wow, love that painting! So cool you found such a helpful group. What's it done for you?
Summary: nan",20
conv-26_session_1_D1:7,conv-26,"The support group has made me feel accepted and given me courage to embrace myself.
Summary: nan",17
conv-26_session_1_D1:8,conv-26,"That's really cool. You've got guts. What now?
Summary: nan",12
conv-26_session_1_D1:9,conv-26,"Gonna continue my edu and check out career options, which is pretty exciting!
Summary: nan",15
conv-26_session_1_D1:10,conv-26,"Wow, Caroline! What kinda jobs are you thinkin' of? Anything that stands out?
Summary: nan",15
conv-26_session_1_D1:11,conv-26,"I'm keen on counseling or working in mental health - I'd love to support those with similar issues.
Summary: nan",21
conv-26_session_1_D1:12,conv-26,"You'd be a great counselor! Your empathy and understanding will really help the people you work with. By the way, take a look at this.
Summary: nan",28
conv-26_session_1_D1:13,conv-26,"Thanks, Melanie! That's really sweet. Is this your own painting?
Summary: nan",13
conv-26_session_1_D1:14,conv-26,"Yeah, I painted that lake sunrise last year! It's special to me.
Summary: nan",15
conv-26_session_1_D1:15,conv-26,"Wow, Melanie! The colors really blend nicely. Painting looks like a great outlet for expressing yourself.
Summary: nan",18
conv-26_session_1_D1:16,conv-26,"Thanks, Caroline! Painting's a fun way to express my feelings and get creative. It's a great way to relax after a long day.
Summary: nan",27
conv-26_session_1_D1:17,conv-26,"Totally agree, Mel. Relaxing and expressing ourselves is key. Well, I'm off to go do some research.
Summary: nan",20
conv-26_session_1_D1:18,conv-26,"Yep, Caroline. Taking care of ourselves is vital. I'm off to go swimming with the kids. Talk to you soon!
Summary: nan",23
conv-26_session_10_D10:1,conv-26,"Hey Melanie! Just wanted to say hi!
Summary: nan",9
conv-26_session_10_D10:2,conv-26,"Hey Caroline! Good to talk to you again. What's up? Anything new since last time?
Summary: nan",18
conv-26_session_10_D10:3,conv-26,"Hey Mel! A lot's happened since we last chatted - I just joined a new LGBTQ activist group last Tues. I'm meeting so many cool people who are as passionate as I am about rights and community support. I'm giving my voice and making a real difference, plus it's fulfilling in so many ways. It's just great, you know?
Summary: nan",65
conv-26_session_10_D10:4,conv-26,"That's awesome, Caroline! Glad to hear you found a great group where you can have an impact. Bet it feels great to be able to speak your truth and stand up for what's right. Want to tell me a bit more about it?
Summary: nan",47
conv-26_session_10_D10:5,conv-26,"Thanks, Melanie! It's awesome to have our own platform to be ourselves and support others' rights. Our group, 'Connected LGBTQ Activists', is made of all kinds of people investing in positive changes. We have regular meetings, plan events and campaigns, to get together and support each other.
Summary: nan",50
conv-26_session_10_D10:6,conv-26,"Wow, Caroline, your group sounds awesome! Supporting each other and making good things happen - that's so inspiring! Have you been part of any events or campaigns lately?
Summary: nan",30
