layer,setting,metric,method,category,category_label,n,score
retrieval,Cat1-4,MRR@10,BM25,4,Single-Hop,841,0.39680369175018404
retrieval,Cat1-4,MRR@10,BM25,1,Multi-Hop,282,0.1921746594618935
retrieval,Cat1-4,MRR@10,BM25,2,Temporal,321,0.4236636502991643
retrieval,Cat1-4,MRR@10,BM25,3,Open-Domain,92,0.17785110420979985
retrieval,Cat1-4,MRR@10,BM25,Overall,Overall,1536,0.3517340443121693
retrieval,Cat1-4,MRR@10,Dense-bge,4,Single-Hop,841,0.5020440518656928
retrieval,Cat1-4,MRR@10,Dense-bge,1,Multi-Hop,282,0.4255122143420016
retrieval,Cat1-4,MRR@10,Dense-bge,2,Temporal,321,0.5703938584779706
retrieval,Cat1-4,MRR@10,Dense-bge,3,Open-Domain,92,0.26523033126293993
retrieval,Cat1-4,MRR@10,Dense-bge,Overall,Overall,1536,0.4880931712962963
retrieval,Cat1-4,MRR@10,RRF_compact,4,Single-Hop,841,0.5367665100126455
retrieval,Cat1-4,MRR@10,RRF_compact,1,Multi-Hop,282,0.43966706067769895
retrieval,Cat1-4,MRR@10,RRF_compact,2,Temporal,321,0.6139457548336053
retrieval,Cat1-4,MRR@10,RRF_compact,3,Open-Domain,92,0.29230072463768114
retrieval,Cat1-4,MRR@10,RRF_compact,Overall,Overall,1536,0.5204264322916666
retrieval,Cat1-4,MRR@10,ZScore-Raw,4,Single-Hop,841,0.5270308400807806
retrieval,Cat1-4,MRR@10,ZScore-Raw,1,Multi-Hop,282,0.42460458178543287
retrieval,Cat1-4,MRR@10,ZScore-Raw,2,Temporal,321,0.5827300598328635
retrieval,Cat1-4,MRR@10,ZScore-Raw,3,Open-Domain,92,0.2996808143547274
retrieval,Cat1-4,MRR@10,ZScore-Raw,Overall,Overall,1536,0.5062489666005291
retrieval,Cat1-4,MRR@10,ZScore-RawERK,4,Single-Hop,841,0.5702607440122304
retrieval,Cat1-4,MRR@10,ZScore-RawERK,1,Multi-Hop,282,0.452516041877744
retrieval,Cat1-4,MRR@10,ZScore-RawERK,2,Temporal,321,0.6341937398012164
retrieval,Cat1-4,MRR@10,ZScore-RawERK,3,Open-Domain,92,0.3168780193236715
retrieval,Cat1-4,MRR@10,ZScore-RawERK,Overall,Overall,1536,0.5468279803240741
reader,Cat.x,F1,BM25,4,Single-Hop,841,0.4571648213268127
reader,Cat.x,F1,BM25,1,Multi-Hop,282,0.19593892988437783
reader,Cat.x,F1,BM25,2,Temporal,321,0.26179799640501766
reader,Cat.x,F1,BM25,3,Open-Domain,96,0.17614079033953148
reader,Cat.x,F1,BM25,5,Adversarial,446,0.09417040358744394
reader,Cat.x,F1,BM25,Overall,Overall,1986,0.29339227879247215
reader,Cat.x,F1,Dense-bge,4,Single-Hop,841,0.5632226282369123
reader,Cat.x,F1,Dense-bge,1,Multi-Hop,282,0.3327623243039935
reader,Cat.x,F1,Dense-bge,2,Temporal,321,0.3124444610425919
reader,Cat.x,F1,Dense-bge,3,Open-Domain,96,0.1941153898185148
reader,Cat.x,F1,Dense-bge,5,Adversarial,446,0.07847533632286996
reader,Cat.x,F1,Dense-bge,Overall,Overall,1986,0.36326231380574964
reader,Cat.x,F1,RRF_compact,4,Single-Hop,841,0.6033449597560441
reader,Cat.x,F1,RRF_compact,1,Multi-Hop,282,0.3547437095028827
reader,Cat.x,F1,RRF_compact,2,Temporal,321,0.2889596384923488
reader,Cat.x,F1,RRF_compact,3,Open-Domain,96,0.21345661399778412
reader,Cat.x,F1,RRF_compact,5,Adversarial,446,0.10089686098654709
reader,Cat.x,F1,RRF_compact,Overall,Overall,1986,0.38554819543528557
reader,Cat.x,F1,ZScore-Raw,4,Single-Hop,841,0.5875220875416872
reader,Cat.x,F1,ZScore-Raw,1,Multi-Hop,282,0.3585098736931277
reader,Cat.x,F1,ZScore-Raw,2,Temporal,321,0.30411072140044104
reader,Cat.x,F1,ZScore-Raw,3,Open-Domain,96,0.24396051163175778
reader,Cat.x,F1,ZScore-Raw,5,Adversarial,446,0.07847533632286996
reader,Cat.x,F1,ZScore-Raw,Overall,Overall,1986,0.37827070024683346
reader,Cat.x,F1,ZScore-RawERK,4,Single-Hop,841,0.6008726766321191
reader,Cat.x,F1,ZScore-RawERK,1,Multi-Hop,282,0.37016072694961116
reader,Cat.x,F1,ZScore-RawERK,2,Temporal,321,0.30567836364688306
reader,Cat.x,F1,ZScore-RawERK,3,Open-Domain,96,0.2350591046283169
reader,Cat.x,F1,ZScore-RawERK,5,Adversarial,446,0.08071748878923767
reader,Cat.x,F1,ZScore-RawERK,Overall,Overall,1986,0.3859051736265712
reader,Cat.v,F1,BM25,4,Single-Hop,841,0.45727187822934784
reader,Cat.v,F1,BM25,1,Multi-Hop,282,0.20239286900652995
reader,Cat.v,F1,BM25,2,Temporal,321,0.36534969011604523
reader,Cat.v,F1,BM25,3,Open-Domain,96,0.19910229625003442
reader,Cat.v,F1,BM25,5,Adversarial,446,0.8789237668161435
reader,Cat.v,F1,BM25,Overall,Overall,1986,0.4884347983977728
reader,Cat.v,F1,Dense-bge,4,Single-Hop,841,0.563763577781133
reader,Cat.v,F1,Dense-bge,1,Multi-Hop,282,0.3326941484781132
reader,Cat.v,F1,Dense-bge,2,Temporal,321,0.43888907907599495
reader,Cat.v,F1,Dense-bge,3,Open-Domain,96,0.20970358796091504
reader,Cat.v,F1,Dense-bge,5,Adversarial,446,0.8721973094170403
reader,Cat.v,F1,Dense-bge,Overall,Overall,1986,0.5629203714060438
reader,Cat.v,F1,RRF_compact,4,Single-Hop,841,0.6030076257423307
reader,Cat.v,F1,RRF_compact,1,Multi-Hop,282,0.3497614501298303
reader,Cat.v,F1,RRF_compact,2,Temporal,321,0.43629386526293445
reader,Cat.v,F1,RRF_compact,3,Open-Domain,96,0.22421102720581887
reader,Cat.v,F1,RRF_compact,5,Adversarial,446,0.8677130044843049
reader,Cat.v,F1,RRF_compact,Overall,Overall,1986,0.5812370249481736
reader,Cat.v,F1,ZScore-Raw,4,Single-Hop,841,0.5851384880245494
reader,Cat.v,F1,ZScore-Raw,1,Multi-Hop,282,0.34225962289783607
reader,Cat.v,F1,ZScore-Raw,2,Temporal,321,0.4298748806308848
reader,Cat.v,F1,ZScore-Raw,3,Open-Domain,96,0.2003817363192363
reader,Cat.v,F1,ZScore-Raw,5,Adversarial,446,0.8699551569506726
reader,Cat.v,F1,ZScore-Raw,Overall,Overall,1986,0.5709190158383668
reader,Cat.v,F1,ZScore-RawERK,4,Single-Hop,841,0.6027590482532349
reader,Cat.v,F1,ZScore-RawERK,1,Multi-Hop,282,0.36613959986237793
reader,Cat.v,F1,ZScore-RawERK,2,Temporal,321,0.45259281990713374
reader,Cat.v,F1,ZScore-RawERK,3,Open-Domain,96,0.25644615523000563
reader,Cat.v,F1,ZScore-RawERK,5,Adversarial,446,0.8587443946188341
reader,Cat.v,F1,ZScore-RawERK,Overall,Overall,1986,0.5856358775601368
