experiment_id,layer,experiment,status,paper_role,evidence,evidence_exists,note
R1,retrieval,Canonical gold mapping,DONE,core,02_artifacts/retrieval_gold_v2,1,1540 total; 1536 evidence-bearing; four documented empty-gold queries
R2,retrieval,Six-method main effectiveness,DONE,core,05_reports/retrieval_main_table,1,"Held-out main table, all-query diagnostic, category metrics, paired Holm-corrected bootstrap"
R3,retrieval,ERK component ablation,DONE,core,05_reports/p1_compact_component_ablation,1,"E/R/K combinations, leave-one-out, time sensitivity, parity and bootstrap"
R4,retrieval,Fusion strategy and alpha selection,DONE,core,05_reports/fusion_audit,1,Raw/RRF/MinMax/ZScore audit and dev-only alpha=0.6 selection
R5,retrieval,Corrected Dense+GlobalKG,DONE,core,05_reports/dense_global_kg_rerun,1,"Corrected degree prior, dev lambda selection, held-out result and significance"
R6,retrieval,Actual candidate-stage recall,DONE_NEW,core,05_reports/candidate_stage_analysis_v1,1,Actual frozen pool recall and candidate-to-Top10 ranking-loss decomposition
R7,retrieval,Question-type breakdown,DONE,analysis,05_reports/question_type_breakdown_v1,1,Correct LoCoMo mapping; mechanism claim does not overstate Multi-Hop
A1,reader,Six-method dual-setting F1/B1,DONE,core,05_reports/reader_offline_metrics_v4,1,23832 per-query metric rows; corrected Cat5 option restoration
A2,reader,Corrected Dense+GlobalKG Reader,DONE,core,05_reports/locomo_gpt4o_prompt_protocol_corrected_densekg_v2,1,Both settings 1986/1986 with integrity gate
A3,reader,HingeMem-style F1/J/B1 table,DONE,core,05_reports/reader_main_hingemem_style,1,Corrected local rows plus clearly quoted external rows
A4,reader,GPT-4o Judge,DONE,core,05_reports/llm_judge_gpt4o_mem0_protocol_v2_cat5_corrected,1,"Six methods, two settings, five categories and micro Overall"
A5,reader,Reader paired uncertainty,DONE,statistics,05_reports/official_eval/gpt4o_dual_setting_locomo_corrected_v3/reader_main_significance.csv,1,Paired bootstrap; several Reader gains are not significant and must be stated honestly
A6,analysis,100-case error analysis,PARTIAL_HUMAN,analysis,05_reports/error_analysis_v1,1,100 reviewed; 91 evidence-resolved; nine require independent adjudication
P1,protocol,Unified evaluation contract,DONE,core,05_reports/unified_evaluation_protocol_v1,1,"Frozen scopes, models, prompts, metrics, embeddings, Cat5 and cache rules"
S1,system,Six-method backend bridge,DONE,core,05_reports/backend_equivalence_v2,1,CSV/Cassandra/Neo4j exact Top10 and metric parity; corrected-edge digest parity
S2,system,Graph-aware canonical parity,DONE,core,05_reports/locomo_workload_graph_v2_canonical_gate,1,5882-memory four-cell semantic and Top10 gate
S3,system,100K load and equal-work gate,DONE,core,05_reports/locomo_workload_graph_v2_100k/graph_100k_load_gate_summary.json,1,"100K, 171 namespaces, zero graph/relation parity mismatches"
S4,system,100K storage/write amplification,DONE_NEW,core,05_reports/locomo_workload_graph_v2_100k/storage_work_v2,1,"Four-cell physical records, writes/event and load times under semantic parity"
S5,system,100K 95:5 concurrency matrix,DONE,core,05_reports/locomo_workload_graph_v2_100k/main_95_5_v2,1,"c=1/8/16/32/64, three reps, 300K measured operations"
S6,system,Four query types,DONE,core,05_reports/locomo_workload_graph_v2_100k/query_types_v2,1,"Scope, relation, candidate projection and end-to-end Top10 at c=32"
S7,system,Online Time-to-Top10,DONE,core,05_reports/experiment11_online_freshness_v2,1,"Commit through real ZScore-RawERK Top10, rates 1/2/5/10, FreshHit deadlines and SLO"
S8,system,Controlled four-cell worker recovery,DONE,appendix,05_reports/locomo_workload_graph_v2_100k/recovery_v2,1,Same 100K graph-aware contract; 12/12 gates pass; zero missed/duplicate updates and post-recovery Top10 mismatches; databases remain online
G1,generalization,Graph-aware 90:10 and 99:1 mix sensitivity,OPTIONAL_NOT_RUN,appendix,,0,95:5 is complete; extra mixes improve robustness but are not needed for the frozen main claim
G2,generalization,Database restart or multi-node failover,EXTERNAL_BLOCKER,future,,0,Controlled application-worker recovery is complete but does not test database failover or distributed fault tolerance
G3,generalization,Independent cross-judge,OPTIONAL_PAID,robustness,05_reports/reader_judge_protocol_v3,1,Not needed for HingeMem-compatible main J; useful only as judge-sensitivity appendix
G4,generalization,Second memory benchmark,EXTERNAL_BLOCKER,future,,0,No second compatible frozen corpus/prediction set is present locally
G5,systems,Multi-node scale-out,EXTERNAL_BLOCKER,future,,0,Current formal evidence is single-machine/single-instance; do not claim distributed scale-out
G6,baselines,Local rerun of external memory systems,EXTERNAL_BLOCKER,future,,0,"External HingeMem-table values are quoted, not paired local reruns"
